Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 3180

Final word counting:

that -> 189
with -> 141
this -> 137
your -> 135
what -> 104
have -> 88
will -> 84
shall -> 55
from -> 46
thou -> 45
they -> 45
more -> 44
most -> 43
good -> 41
hath -> 40
like -> 39
which -> 38
their -> 35
enter -> 34
should -> 32
must -> 31
upon -> 30
make -> 30
know -> 29
would -> 28
such -> 28
very -> 28
come -> 27
when -> 27
some -> 27
give -> 25
where -> 25
than -> 24
much -> 23
there -> 23
love -> 23
then -> 22
take -> 20
might -> 20
speak -> 19
thee -> 18
them -> 18
think -> 18
here -> 18
these -> 18
time -> 17
cannot -> 17
scene -> 16
world -> 16
could -> 16
look -> 15
thus -> 15
tell -> 15
whose -> 15
doth -> 15
well -> 15
both -> 15
even -> 14
were -> 14
king -> 13
hamlet -> 13
those -> 13
though -> 13
call -> 13
against -> 12
heaven -> 12
does -> 12
been -> 12
find -> 12
exeunt -> 12
never -> 12
nothing -> 12
long -> 11
young -> 11
dear -> 11
itself -> 11
into -> 11
poor -> 11
play -> 11
hear -> 10
fear -> 10
father -> 10
show -> 10
indeed -> 10
till -> 10
soul -> 10
seen -> 9
hold -> 9
night -> 9
made -> 9
believe -> 9
mine -> 9
still -> 9
room -> 9
leave -> 9
thoughts -> 9
sweet -> 9
pray -> 9
queen -> 9
before -> 8
live -> 8
comes -> 8
hand -> 8
head -> 8
life -> 8
about -> 8
bear -> 8
lord -> 8
words -> 8
electronic -> 8
copies -> 8
distributed -> 8
thousand -> 8
madness -> 8
answer -> 7
stand -> 7
last -> 7
true -> 7
stay -> 7
hast -> 7
death -> 7
ever -> 7
noble -> 7
mother -> 7
great -> 7
youth -> 7
himself -> 7
means -> 7
between -> 7
many -> 7
makes -> 7
sent -> 7
william -> 7
rosencrantz -> 7
cause -> 7
matter -> 7
dost -> 7
players -> 7
after -> 7
horatio -> 6
thing -> 6
says -> 6
therefore -> 6
eyes -> 6
once -> 6
same -> 6
part -> 6
mark -> 6
something -> 6
dead -> 6
goes -> 6
unto -> 6
other -> 6
through -> 6
earth -> 6
heard -> 6
power -> 6
memory -> 6
personal -> 6
reason -> 6
mind -> 6
first -> 6
things -> 6
name -> 6
else -> 6
keep -> 6
second -> 6
said -> 6
follow -> 6
wholesome -> 6
provided -> 6
gutenberg -> 6
ourselves -> 6
sense -> 6
meet -> 5
piece -> 5
again -> 5
question -> 5
fair -> 5
majesty -> 5
without -> 5
state -> 5
little -> 5
almost -> 5
wherein -> 5
nature -> 5
better -> 5
business -> 5
full -> 5
doubt -> 5
wouldst -> 5
came -> 5
duty -> 5
best -> 5
within -> 5
excellent -> 5
hands -> 5
away -> 5
virtue -> 5
humbly -> 5
yourself -> 5
please -> 5
fashion -> 5
tongue -> 5
near -> 5
since -> 5
bring -> 5
times -> 5
version -> 5
works -> 5
etext -> 5
machine -> 5
readable -> 5
prohibited -> 5
move -> 5
pass -> 5
hope -> 5
shame -> 5
honest -> 4
warlike -> 4
form -> 4
exit -> 4
gone -> 4
particular -> 4
haste -> 4
being -> 4
season -> 4
dumb -> 4
whole -> 4
further -> 4
news -> 4
lose -> 4
less -> 4
seek -> 4
shows -> 4
heart -> 4
note -> 4
body -> 4
wicked -> 4
drink -> 4
prithee -> 4
each -> 4
foul -> 4
grow -> 4
service -> 4
honour -> 4
enough -> 4
none -> 4
every -> 4
false -> 4
daughter -> 4
takes -> 4
keeps -> 4
custom -> 4
choose -> 4
action -> 4
draw -> 4
shalt -> 4
help -> 4
shakespeare -> 4
copyright -> 4
project -> 4
mellon -> 4
university -> 4
distribution -> 4
charges -> 4
download -> 4
breathe -> 4
over -> 4
lack -> 4
grief -> 4
rest -> 4
guildenstern -> 4
gives -> 4
three -> 4
thank -> 4
gave -> 4
kind -> 4
only -> 4
pyrrhus -> 4
bloody -> 4
devil -> 4
deed -> 4
england -> 4
noise -> 4
alexander -> 4
down -> 3
quiet -> 3
friends -> 3
watch -> 3
buried -> 3
denmark -> 3
thought -> 3
cast -> 3
cannon -> 3
known -> 3
lands -> 3
stood -> 3
fell -> 3
motive -> 3
walk -> 3
stop -> 3
guilty -> 3
throat -> 3
whether -> 3
dare -> 3
laertes -> 3
kingdom -> 3
delight -> 3
taken -> 3
hears -> 3
native -> 3
dread -> 3
beseech -> 3
thine -> 3
passing -> 3
solemn -> 3
bound -> 3
fault -> 3
back -> 3
grace -> 3
seem -> 3
grows -> 3
rank -> 3
visit -> 3
grown -> 3
tears -> 3
deep -> 3
mock -> 3
fellow -> 3
while -> 3
point -> 3
pale -> 3
choice -> 3
wisdom -> 3
beauty -> 3
blessing -> 3
occasion -> 3
wind -> 3
dull -> 3
