Execution time for counter with probability 1/2: 0.01 seconds.

Number of words counted: 4839

Final word counting:

vous -> 230
pour -> 172
dans -> 161
nous -> 131
plus -> 117
votre -> 98
mais -> 92
comme -> 88
avec -> 83
cette -> 74
tout -> 74
fait -> 60
sont -> 58
bien -> 55
notre -> 51
même -> 50
cela -> 50
sans -> 49
faire -> 45
aussi -> 37
quand -> 36
elle -> 35
ainsi -> 35
encore -> 34
quelque -> 34
être -> 34
hamlet -> 33
leur -> 32
point -> 28
toute -> 28
premier -> 26
dont -> 25
soit -> 25
tous -> 24
deux -> 23
dire -> 23
suis -> 23
temps -> 22
était -> 22
leurs -> 22
donc -> 22
reine -> 22
chose -> 21
rien -> 21
contre -> 21
shakspeare -> 21
fois -> 20
avait -> 20
peut -> 20
mort -> 20
telle -> 20
maintenant -> 18
trop -> 18
toutes -> 17
voici -> 17
homme -> 17
faites -> 17
chaque -> 16
quel -> 16
autre -> 16
comment -> 16
scène -> 15
pourquoi -> 15
celui -> 15
avant -> 15
vers -> 15
jamais -> 15
paroles -> 15
vient -> 14
avons -> 14
sous -> 14
mettre -> 14
tête -> 14
sens -> 14
jeune -> 13
tant -> 13
père -> 13
entre -> 13
sera -> 13
beaucoup -> 13
quoi -> 13
devant -> 12
parler -> 12
ciel -> 12
quelle -> 12
faut -> 12
second -> 12
propre -> 12
guildenstern -> 12
alors -> 11
êtes -> 11
main -> 11
veux -> 11
voilà -> 11
soient -> 11
voir -> 11
donner -> 11
selon -> 11
moins -> 11
mère -> 11
mieux -> 11
combien -> 11
corps -> 11
avoir -> 11
déjà -> 11
suite -> 11
afin -> 10
presque -> 10
terre -> 10
aucun -> 10
avez -> 10
fils -> 10
pense -> 9
forme -> 9
noble -> 9
jour -> 9
serait -> 9
cause -> 9
grande -> 9
vieux -> 9
doit -> 9
porte -> 9
yeux -> 9
toujours -> 9
seigneur -> 9
cher -> 9
après -> 9
femme -> 9
bonne -> 8
quant -> 8
pendant -> 8
vont -> 8
monde -> 8
grand -> 8
force -> 8
part -> 8
fort -> 8
seulement -> 8
texte -> 8
raison -> 8
semble -> 8
hors -> 8
souvent -> 8
donne -> 8
fille -> 8
prendre -> 8
fond -> 8
sorte -> 8
puis -> 8
jouer -> 8
puisse -> 7
ceci -> 7
sais -> 7
tombe -> 7
voix -> 7
souvenir -> 7
assez -> 7
danemark -> 7
sois -> 7
