Execution time for counter with probability 1/2: 0.008 seconds.

Number of words counted: 4222

Final word counting:

hamlet -> 211
para -> 118
como -> 91
mais -> 80
minha -> 68
horacio -> 63
rainha -> 50
laerte -> 42
está -> 41
quem -> 40
polonio -> 39
rosencrantz -> 37
este -> 36
suas -> 34
porque -> 32
esta -> 31
ophelia -> 31
primeiro -> 30
todos -> 29
quando -> 27
seus -> 27
ainda -> 26
então -> 25
nada -> 24
coveiro -> 23
assim -> 22
quanto -> 22
vossa -> 22
pelo -> 21
pela -> 21
marcello -> 20
tudo -> 20
guildenstern -> 20
sombra -> 19
alguma -> 19
póde -> 19
elle -> 18
meus -> 18
nosso -> 18
pois -> 18
esse -> 16
depois -> 16
toda -> 16
onde -> 16
sobre -> 16
nunca -> 15
segundo -> 15
entra -> 15
agora -> 14
mesmo -> 14
qual -> 14
morte -> 14
tempo -> 14
sempre -> 14
estão -> 13
causa -> 13
nossos -> 13
antes -> 13
vida -> 13
nossa -> 13
todas -> 13
homem -> 13
amor -> 13
muito -> 13
sejam -> 13
scena -> 12
tambem -> 12
essa -> 12
entram -> 12
seja -> 12
hoje -> 12
quero -> 12
osrico -> 12
estes -> 11
será -> 11
minhas -> 11
vezes -> 10
vamos -> 10
parte -> 10
parece -> 10
aquelle -> 10
tanto -> 10
palavras -> 10
deve -> 10
contra -> 10
outro -> 10
emquanto -> 9
todo -> 9
noite -> 9
cousa -> 9
fortimbraz -> 9
joven -> 9
olhos -> 9
lhes -> 9
terra -> 9
maior -> 9
alma -> 9
queres -> 9
tenho -> 9
actores -> 9
peça -> 9
castello -> 8
bernardo -> 8
duas -> 8
tinha -> 8
virtude -> 8
caso -> 8
comtudo -> 8
teus -> 8
coração -> 8
ponto -> 8
triste -> 8
acto -> 8
dois -> 8
apenas -> 8
tres -> 8
talvez -> 8
seria -> 8
sangue -> 8
modo -> 8
aqui -> 8
fronte -> 8
possa -> 7
pouco -> 7
deus -> 7
proprio -> 7
cuja -> 7
menos -> 7
somos -> 7
devo -> 7
entre -> 7
olhar -> 7
senhor -> 7
ella -> 7
forçoso -> 7
estou -> 7
algum -> 7
propria -> 7
pensamento -> 7
principe -> 7
corpo -> 6
verdade -> 6
posso -> 6
pelas -> 6
rasão -> 6
embora -> 6
acção -> 6
dinamarca -> 6
podem -> 6
sinto -> 6
senhores -> 6
mãos -> 6
queria -> 6
melhor -> 6
elsenor -> 6
rumor -> 6
fosse -> 6
capaz -> 6
têem -> 6
actos -> 6
mensageiro -> 6
alteza -> 6
ouvi -> 5
creio -> 5
temos -> 5
quer -> 5
debaixo -> 5
grande -> 5
estas -> 5
força -> 5
deixar -> 5
cujo -> 5
dizer -> 5
prazer -> 5
nossas -> 5
fazer -> 5
cabeça -> 5
querido -> 5
mundo -> 5
certo -> 5
cada -> 5
tivesse -> 5
teria -> 5
outros -> 5
querida -> 5
flores -> 5
disse -> 5
qualquer -> 5
demonio -> 5
vista -> 5
palavra -> 5
quaes -> 5
nobre -> 5
filho -> 5
procura -> 5
saber -> 5
idade -> 5
vendo -> 5
demencia -> 5
similhante -> 5
actor -> 5
pyrrho -> 5
official -> 5
francisco -> 4
viva -> 4
boas -> 4
chegam -> 4
hora -> 4
momento -> 4
diga -> 4
dias -> 4
poderá -> 4
mesma -> 4
igual -> 4
desgraça -> 4
entranhas -> 4
isso -> 4
senão -> 4
signal -> 4
pessoas -> 4
nenhuma -> 4
graça -> 4
sala -> 4
cornelio -> 4
irmão -> 4
motivo -> 4
conhecer -> 4
vontade -> 4
magestade -> 4
aindaque -> 4
essas -> 4
verdadeira -> 4
pobre -> 4
estava -> 4
raios -> 4
tanta -> 4
parecia -> 4
longe -> 4
bons -> 4
quasi -> 4
elles -> 4
horas -> 4
quarto -> 4
posição -> 4
perigo -> 4
receio -> 4
caminho -> 4
segunda -> 4
gosto -> 4
poisque -> 4
esses -> 4
basta -> 4
tuas -> 4
logar -> 4
havia -> 4
veneno -> 4
ambos -> 4
rinaldo -> 4
deves -> 4
caro -> 4
cartas -> 4
contrario -> 4
fóra -> 4
quatro -> 4
deixe -> 4
demasiado -> 4
resto -> 4
homens -> 4
chão -> 4
consciencia -> 4
infeliz -> 4
crime -> 4
terrivel -> 4
pensar -> 4
chega -> 4
justo -> 4
ordens -> 4
tocar -> 4
creado -> 4
