Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 3180

Final word counting:

that -> 181
with -> 134
your -> 128
this -> 128
have -> 94
what -> 88
will -> 72
shall -> 58
thou -> 56
good -> 48
they -> 45
from -> 43
like -> 42
most -> 38
enter -> 36
give -> 36
hath -> 35
know -> 35
more -> 34
very -> 33
would -> 30
should -> 30
than -> 29
such -> 29
upon -> 28
make -> 28
some -> 27
must -> 27
where -> 26
there -> 25
which -> 25
king -> 24
come -> 23
their -> 23
much -> 22
think -> 21
speak -> 21
time -> 21
these -> 21
love -> 21
thus -> 20
them -> 19
take -> 19
look -> 19
could -> 19
when -> 18
might -> 17
made -> 16
tell -> 16
here -> 16
dear -> 16
then -> 15
whose -> 15
cannot -> 15
thee -> 14
hear -> 14
hold -> 14
doth -> 14
well -> 14
head -> 14
hamlet -> 13
those -> 13
itself -> 13
nothing -> 13
scene -> 12
father -> 12
pray -> 12
great -> 12
soul -> 12
lord -> 12
against -> 11
heaven -> 11
been -> 11
show -> 11
find -> 11
till -> 11
into -> 11
before -> 10
long -> 10
world -> 10
young -> 10
exeunt -> 10
leave -> 10
noble -> 10
sweet -> 10
both -> 10
keep -> 10
call -> 10
makes -> 10
follow -> 10
never -> 10
stand -> 9
therefore -> 9
fair -> 9
though -> 9
hast -> 9
about -> 9
bear -> 9
were -> 9
poor -> 9
copies -> 9
live -> 8
thing -> 8
eyes -> 8
part -> 8
comes -> 8
fear -> 8
without -> 8
mine -> 8
death -> 8
nature -> 8
reason -> 8
first -> 8
many -> 8
bring -> 8
rosencrantz -> 8
queen -> 8
players -> 8
down -> 7
last -> 7
break -> 7
something -> 7
believe -> 7
dead -> 7
does -> 7
even -> 7
other -> 7
still -> 7
life -> 7
better -> 7
ever -> 7
virtue -> 7
remember -> 7
yourself -> 7
words -> 7
carnegie -> 7
distributed -> 7
matter -> 7
play -> 7
fine -> 7
seen -> 6
once -> 6
night -> 6
denmark -> 6
fell -> 6
hand -> 6
earth -> 6
ghost -> 6
heard -> 6
whole -> 6
further -> 6
thoughts -> 6
heart -> 6
mother -> 6
name -> 6
else -> 6
foul -> 6
youth -> 6
service -> 6
second -> 6
means -> 6
given -> 6
between -> 6
electronic -> 6
gutenberg -> 6
rest -> 6
gives -> 6
three -> 6
gave -> 6
friends -> 5
says -> 5
question -> 5
true -> 5
goes -> 5
unto -> 5
state -> 5
almost -> 5
stay -> 5
walk -> 5
being -> 5
whether -> 5
laertes -> 5
business -> 5
duty -> 5
within -> 5
mind -> 5
body -> 5
wicked -> 5
while -> 5
himself -> 5
wind -> 5
dull -> 5
please -> 5
blood -> 5
near -> 5
since -> 5
draw -> 5
another -> 5
wilt -> 5
sent -> 5
times -> 5
provided -> 5
project -> 5
used -> 5
commercial -> 5
move -> 5
thank -> 5
madness -> 5
speech -> 5
after -> 5
mortal -> 5
conscience -> 5
danish -> 5
meet -> 4
piece -> 4
star -> 4
mark -> 4
form -> 4
majesty -> 4
haste -> 4
wherein -> 4
dare -> 4
memory -> 4
full -> 4
commend -> 4
wouldst -> 4
seek -> 4
indeed -> 4
common -> 4
back -> 4
flesh -> 4
things -> 4
tears -> 4
fellow -> 4
methinks -> 4
point -> 4
each -> 4
hands -> 4
away -> 4
enough -> 4
lies -> 4
double -> 4
entertainment -> 4
neither -> 4
free -> 4
takes -> 4
custom -> 4
complete -> 4
action -> 4
shalt -> 4
done -> 4
wholesome -> 4
works -> 4
william -> 4
shakespeare -> 4
etext -> 4
others -> 4
distribution -> 4
download -> 4
took -> 4
ourselves -> 4
lack -> 4
grief -> 4
cause -> 4
welcome -> 4
behind -> 4
laugh -> 4
lady -> 4
turn -> 4
fool -> 4
quick -> 4
husband -> 4
wager -> 4
water -> 4
struck -> 3
horatio -> 3
honest -> 3
again -> 3
touching -> 3
watch -> 3
same -> 3
together -> 3
warlike -> 3
buried -> 3
charge -> 3
particular -> 3
thought -> 3
cast -> 3
image -> 3
stood -> 3
motive -> 3
little -> 3
trumpet -> 3
truth -> 3
power -> 3
gracious -> 3
impart -> 3
room -> 3
delight -> 3
thinking -> 3
late -> 3
uncle -> 3
news -> 3
told -> 3
native -> 3
came -> 3
