Execution time for counter with probability 1/2: 0.011 seconds.

Number of words counted: 4839

Final word counting:

vous -> 193
dans -> 182
pour -> 146
nous -> 140
plus -> 114
votre -> 106
comme -> 100
mais -> 93
avec -> 80
cette -> 79
tout -> 61
fait -> 58
bien -> 57
sont -> 54
cela -> 53
même -> 45
leur -> 45
point -> 43
elle -> 42
faire -> 41
notre -> 40
quelque -> 38
sans -> 38
tous -> 38
aussi -> 37
ainsi -> 35
être -> 34
quand -> 34
hamlet -> 31
encore -> 30
dont -> 28
premier -> 26
deux -> 26
était -> 26
toute -> 26
scène -> 25
soit -> 25
toutes -> 24
avait -> 24
dire -> 24
autre -> 24
vers -> 24
jamais -> 24
trop -> 22
leurs -> 22
contre -> 21
père -> 21
rien -> 20
peut -> 20
shakspeare -> 20
temps -> 19
entre -> 19
fois -> 18
veux -> 18
mort -> 18
suis -> 18
faut -> 18
donc -> 18
reine -> 18
chose -> 17
sous -> 16
maintenant -> 16
moins -> 16
propre -> 16
guildenstern -> 16
êtes -> 15
tête -> 15
grand -> 14
tant -> 14
quelle -> 14
faites -> 14
veut -> 13
quant -> 13
alors -> 13
dieu -> 13
homme -> 13
depuis -> 13
avoir -> 13
sera -> 13
telle -> 13
quoi -> 13
comment -> 13
vient -> 12
voici -> 12
jour -> 12
quel -> 12
main -> 12
corps -> 12
seigneur -> 12
femme -> 12
sens -> 12
bonne -> 11
jeune -> 11
avant -> 11
aucun -> 11
seulement -> 11
pauvre -> 11
langage -> 11
gens -> 11
second -> 11
beaucoup -> 11
mille -> 10
avons -> 10
pourquoi -> 10
chaque -> 10
parler -> 10
ciel -> 10
sais -> 10
celui -> 10
monde -> 10
serait -> 10
voir -> 10
seul -> 10
donner -> 10
selon -> 10
aller -> 10
raison -> 10
paroles -> 10
hors -> 10
souvent -> 10
puis -> 10
coeur -> 9
près -> 9
grande -> 9
force -> 9
voilà -> 9
soient -> 9
part -> 9
vieux -> 9
mère -> 9
mieux -> 9
donne -> 9
montre -> 9
fils -> 9
forme -> 8
ceci -> 8
cause -> 8
presque -> 8
mettre -> 8
peine -> 8
avez -> 8
doit -> 8
sang -> 8
toujours -> 8
déjà -> 8
quelques -> 8
langue -> 8
puisque -> 8
après -> 8
suite -> 8
rosencrantz -> 8
jouer -> 8
devant -> 7
afin -> 7
pendant -> 7
noble -> 7
fasse -> 7
terre -> 7
voix -> 7
autres -> 7
porter -> 7
pouvez -> 7
plutôt -> 7
sois -> 7
rendre -> 7
porte -> 7
choses -> 7
combien -> 7
appartement -> 7
jeunesse -> 7
nature -> 7
vertu -> 7
double -> 7
fille -> 7
vais -> 7
prendre -> 7
lieu -> 7
derrière -> 7
folie -> 7
comédiens -> 7
pièce -> 7
belle -> 7
pris -> 6
soyez -> 6
vont -> 6
tombe -> 6
tandis -> 6
faisant -> 6
aurait -> 6
assez -> 6
danemark -> 6
peuvent -> 6
envers -> 6
vois -> 6
voudrais -> 6
lorsque -> 6
