Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 4222

Final word counting:

hamlet -> 201
para -> 119
mais -> 92
como -> 81
minha -> 70
horacio -> 58
polonio -> 52
rainha -> 50
está -> 43
esta -> 37
laerte -> 37
rosencrantz -> 36
quem -> 32
seus -> 32
ophelia -> 32
coveiro -> 31
nada -> 30
este -> 29
quando -> 28
todos -> 28
suas -> 28
tudo -> 28
primeiro -> 27
quanto -> 27
pelo -> 26
elle -> 25
pois -> 25
assim -> 24
porque -> 24
vossa -> 22
ainda -> 21
esse -> 21
alguma -> 20
pela -> 20
onde -> 20
será -> 20
sempre -> 20
marcello -> 19
agora -> 19
guildenstern -> 19
depois -> 18
póde -> 18
bernardo -> 17
seja -> 17
sobre -> 17
toda -> 16
nossa -> 16
tambem -> 15
sombra -> 15
nosso -> 15
entra -> 15
scena -> 14
emquanto -> 14
então -> 14
qual -> 14
parte -> 14
meus -> 14
morte -> 14
homem -> 14
estão -> 13
essa -> 13
nunca -> 13
vida -> 13
tempo -> 13
todas -> 13
muito -> 13
mesmo -> 12
segundo -> 12
entre -> 12
quero -> 12
amor -> 12
tenho -> 12
todo -> 11
noite -> 11
dizer -> 11
entram -> 11
hoje -> 11
seria -> 11
sangue -> 11
actores -> 11
cousa -> 10
posso -> 10
estes -> 10
terra -> 10
teus -> 10
alma -> 10
ella -> 10
vezes -> 9
parece -> 9
grande -> 9
nossos -> 9
menos -> 9
lhes -> 9
antes -> 9
palavras -> 9
certo -> 9
estou -> 9
contra -> 9
fosse -> 9
corôa -> 8
vontade -> 8
querido -> 8
queres -> 8
talvez -> 8
sejam -> 8
tuas -> 8
pensamento -> 8
aqui -> 8
osrico -> 8
castello -> 7
verdade -> 7
fallar -> 7
debaixo -> 7
deus -> 7
tinha -> 7
aquelle -> 7
estado -> 7
estas -> 7
virtude -> 7
pelas -> 7
rasão -> 7
olhos -> 7
cujo -> 7
maior -> 7
tanto -> 7
motivo -> 7
mundo -> 7
coração -> 7
forçoso -> 7
tres -> 7
algum -> 7
esses -> 7
pelos -> 7
actos -> 7
modo -> 7
similhante -> 7
alteza -> 7
actor -> 7
francisco -> 6
viva -> 6
pouco -> 6
cuja -> 6
mesma -> 6
comtudo -> 6
joven -> 6
acção -> 6
senão -> 6
nossas -> 6
podem -> 6
deve -> 6
acto -> 6
senhor -> 6
minhas -> 6
mãos -> 6
queria -> 6
duvida -> 6
quarto -> 6
propria -> 6
vista -> 6
nobre -> 6
principe -> 6
rinaldo -> 6
saber -> 6
vendo -> 6
fronte -> 6
official -> 6
povo -> 6
houve -> 5
chegam -> 5
corpo -> 5
duas -> 5
possa -> 5
vamos -> 5
quer -> 5
fórma -> 5
dias -> 5
fortimbraz -> 5
igual -> 5
força -> 5
somos -> 5
devo -> 5
sala -> 5
cabeça -> 5
bôca -> 5
dinamarca -> 5
magestade -> 5
revelar -> 5
ponto -> 5
cada -> 5
raios -> 5
tivesse -> 5
lagrimas -> 5
senhores -> 5
ouvidos -> 5
flores -> 5
qualquer -> 5
almas -> 5
outra -> 5
palavra -> 5
sabe -> 5
têem -> 5
filho -> 5
demasiado -> 5
vale -> 5
seguir -> 5
vento -> 5
pensar -> 5
novo -> 4
proprio -> 4
embora -> 4
isso -> 4
presença -> 4
signal -> 4
pessoas -> 4
dizem -> 4
espirito -> 4
graça -> 4
conhece -> 4
conhecer -> 4
sabes -> 4
sinto -> 4
triste -> 4
cadaver -> 4
affeição -> 4
excepto -> 4
possivel -> 4
dois -> 4
tanta -> 4
teria -> 4
longe -> 4
bons -> 4
visto -> 4
elles -> 4
inferno -> 4
segredo -> 4
novas -> 4
outros -> 4
salvação -> 4
perigo -> 4
melhor -> 4
caminho -> 4
disse -> 4
chamma -> 4
rumor -> 4
sêllo -> 4
basta -> 4
demonio -> 4
preciso -> 4
veneno -> 4
fogo -> 4
capaz -> 4
aquelles -> 4
deves -> 4
outro -> 4
feito -> 4
achar -> 4
idade -> 4
estamos -> 4
alguns -> 4
bemvindos -> 4
tropas -> 4
fóra -> 4
prisão -> 4
homens -> 4
lucta -> 4
espada -> 4
vejo -> 4
seis -> 4
ordens -> 4
pretende -> 4
ouvi -> 3
creio -> 3
hora -> 3
haverá -> 3
comtigo -> 3
causa -> 3
posto -> 3
diga -> 3
canhões -> 3
ultimo -> 3
caso -> 3
perdeu -> 3
isto -> 3
porte -> 3
intelligencia -> 3
deixar -> 3
astro -> 3
influencia -> 3
tens -> 3
sabedor -> 3
desgraça -> 3
golpes -> 3
dever -> 3
prazer -> 3
sorrisos -> 3
fazer -> 3
aindaque -> 3
essas -> 3
haver -> 3
olhar -> 3
parecer -> 3
vestes -> 3
verdadeira -> 3
pobre -> 3
estava -> 3
farei -> 3
emfim -> 3
morto -> 3
apenas -> 3
mulher -> 3
fiel -> 3
pôde -> 3
vinho -> 3
quasi -> 3
iguarias -> 3
encontrar -> 3
meio -> 3
appareceu -> 3
tinham -> 3
sido -> 3
barba -> 3
escolher -> 3
querida -> 3
belleza -> 3
flor -> 3
receio -> 3
juventude -> 3
occasião -> 3
evitar -> 3
escuta -> 3
pedir -> 3
verdadeiro -> 3
jamais -> 3
honra -> 3
porventura -> 3
devéras -> 3
laços -> 3
estar -> 3
vicio -> 3
costume -> 3
caracter -> 3
ninguem -> 3
completa -> 3
poder -> 3
paixão -> 3
havia -> 3
anjo -> 3
ouvido -> 3
entrega -> 3
ambos -> 3
livre -> 3
caro -> 3
descobrir -> 3
mensageiro -> 3
cartas -> 3
digo -> 3
bastante -> 3
vossas -> 3
eram -> 3
combater -> 3
passagem -> 3
confissão -> 3
silencio -> 3
leitura -> 3
contém -> 3
devem -> 3
podia -> 3
imbecil -> 3
rasões -> 3
fortuna -> 3
disposto -> 3
resto -> 3
unicamente -> 3
leve -> 3
especie -> 3
obra -> 3
sendo -> 3
effectivamente -> 3
pyrrho -> 3
cavallo -> 3
ouvir -> 3
pranto -> 3
faria -> 3
tantos -> 3
assassino -> 3
laço -> 3
esperança -> 3
crime -> 3
supportar -> 3
termo -> 3
terrivel -> 3
fria -> 3
creaturas -> 3
prevenir -> 3
juro -> 3
trinta -> 3
prompto -> 3
justo -> 3
golpe -> 3
tocar -> 3
instrumento -> 3
podemos -> 3
creado -> 3
breve -> 3
sagrado -> 3
francezes -> 3
agua -> 3
dentro -> 3
alexandre -> 3
apostou -> 3
acaba -> 2
meia -> 2
amigos -> 2
bemvindo -> 2
effeito -> 2
acreditar -> 2
deixemos -> 2
giro -> 2
momento -> 2
apparece -> 2
defunto -> 2
observa -> 2
similhança -> 2
lenta -> 2
dizes -> 2
testemunho -> 2
pareces -> 2
armadura -> 2
usava -> 2
caminhar -> 2
opinião -> 2
guardas -> 2
territorio -> 2
ardente -> 2
grandes -> 2
pódes -> 2
articular -> 2
cumprimento -> 2
gallo -> 2
esforço -> 2
colera -> 2
culpado -> 2
espiritos -> 2
prova -> 2
algumas -> 2
ousa -> 2
acolá -> 2
impõe -> 2
cornelio -> 2
nuvem -> 2
esteja -> 2
alegria -> 2
esposa -> 2
aquella -> 2
fazendo -> 2
idéa -> 2
irmão -> 2
projectos -> 2
ponha -> 2
monarcha -> 2
junto -> 2
dedicação -> 2
voltimando -> 2
pedido -> 2
throno -> 2
vosso -> 2
gostosamente -> 2
desejos -> 2
vive -> 2
memoria -> 2
perdêra -> 2
durante -> 2
provas -> 2
rebelde -> 2
impressionar -> 2
offensa -> 2
desde -> 2
fica -> 2
resposta -> 2
jubilo -> 2
taça -> 2
carne -> 2
mezes -> 2
querer -> 2
céus -> 2
parecia -> 2
passado -> 2
animal -> 2
voar -> 2
servo -> 2
maneira -> 2
ultima -> 2
festim -> 2
encarniçado -> 2
sitio -> 2
expressão -> 2
espanto -> 2
necessario -> 2
contar -> 2
guardado -> 2
respeito -> 2
serei -> 2
grato -> 2
musculos -> 2
templo -> 2
nação -> 2
assisadamente -> 2
mancha -> 2
perigos -> 2
verme -> 2
limpido -> 2
dupla -> 2
segunda -> 2
espera -> 2
confiança -> 2
gosto -> 2
passo -> 2
segue -> 2
tido -> 2
arma -> 2
innocente -> 2
tomar -> 2
elsenor -> 2
dando -> 2
timbales -> 2
outras -> 2
natureza -> 2
poisque -> 2
fossem -> 2
infinitas -> 2
liga -> 2
anjos -> 2
poderes -> 2
grata -> 2
morrer -> 2
logar -> 2
faça -> 2
continua -> 2
chammas -> 2
presta -> 2
estejam -> 2
quaes -> 2
infame -> 2
assassinios -> 2
dotes -> 2
digno -> 2
cujas -> 2
qualidades -> 2
celeste -> 2
santidade -> 2
frasco -> 2
comparecer -> 2
perante -> 2
juiz -> 2
peso -> 2
cumulo -> 2
energia -> 2
incoherentes -> 2
desejo -> 2
digam -> 2
jurem -> 2
informações -> 2
procura -> 2
vicios -> 2
conta -> 2
sente -> 2
constrangimento -> 2
bella -> 2
falla -> 2
rosto -> 2
precisa -> 2
fito -> 2
delirio -> 2
violencia -> 2
fundo -> 2
contrario -> 2
serviços -> 2
reis -> 2
infelizmente -> 2
cuidados -> 2
ancioso -> 2
sobrinho -> 2
polacos -> 2
consiste -> 2
verdadeiramente -> 2
estulta -> 2
tenha -> 2
conceito -> 2
perdi -> 2
seguiu -> 2
teve -> 2
fraqueza -> 2
demencia -> 2
quatro -> 2
deixe -> 2
custa -> 2
podesse -> 2
louco -> 2
peza -> 2
vasta -> 2
ambição -> 2
reino -> 2
justamente -> 2
sonhos -> 2
preço -> 2
mandaram -> 2
motu -> 2
direitos -> 2
devemos -> 2
innumeras -> 2
offerecer -> 2
bobo -> 2
riso -> 2
sinta -> 2
foram -> 2
reputação -> 2
primeira -> 2
terem -> 2
pastoral -> 2
estylo -> 2
chama -> 2
peça -> 2
trecho -> 2
escripta -> 2
raio -> 2
sôpro -> 2
chão -> 2
completar -> 2
deuses -> 2
veja -> 2
acaso -> 2
entregue -> 2
quantos -> 2
ámanhã -> 2
doze -> 2
estupida -> 2
pomba -> 2
assassinio -> 2
acha -> 2
armado -> 2
consciencia -> 2
sentir -> 2
sondar -> 2
infeliz -> 2
terei -> 2
tantas -> 2
asqueroso -> 2
atrás -> 2
somno -> 2
ponta -> 2
alcançar -> 2
descanso -> 2
alem -> 2
brilhante -> 2
desviar -> 2
curso -> 2
perderam -> 2
mostra -> 2
fizeste -> 2
imaginação -> 2
portas -> 2
precisas -> 2
futuro -> 2
espelho -> 2
typo -> 2
demora -> 2
paiz -> 2
differentes -> 2
elogiar -> 2
distinguir -> 2
mortaes -> 2
cujos -> 2
marcha -> 2
viver -> 2
ajoelha -> 2
vivo -> 2
chega -> 2
principio -> 2
indica -> 2
rompa -> 2
doce -> 2
negra -> 2
antiga -> 2
producto -> 2
mendigo -> 2
porta -> 2
braços -> 2
luciano -> 2
chamado -> 2
pena -> 2
sorte -> 2
abominavel -> 2
logo -> 2
pequeno -> 2
cesse -> 2
tragam -> 2
venham -> 2
venha -> 2
responder -> 2
beber -> 2
inglaterra -> 2
obrigado -> 2
morre -> 2
cume -> 2
perdão -> 2
branca -> 2
assassinou -> 2
contas -> 2
offendeu -> 2
reposteiro -> 2
irmã -> 2
saberá -> 2
atear -> 2
revolta -> 2
vergonha -> 2
descubro -> 2
bugio -> 2
companheiros -> 2
envenenados -> 2
dotado -> 2
obrámos -> 2
convoquemos -> 2
conserva -> 2
pareça -> 2
vinte -> 2
provavelmente -> 2
foste -> 2
pensando -> 2
comtanto -> 2
patente -> 2
jovem -> 2
pertence -> 2
mandado -> 2
impede -> 2
recúa -> 2
pessoa -> 2
reunidas -> 2
arte -> 2
partido -> 2
amavas -> 2
quantas -> 2
florete -> 2
voluntariamente -> 2
craneo -> 2
buraco -> 2
reduz -> 2
nove -> 2
enfeites -> 2
victima -> 2
muitas -> 2
despacho -> 2
ordenava -> 2
aposta -> 2
espadas -> 2
trazendo -> 2
embaixadores -> 2
salvas -> 2
explanada -> 1
faze -> 1
teres -> 1
vindo -> 1
frio -> 1
começava -> 1
sequer -> 1
correr -> 1
boas -> 1
vires -> 1
façam -> 1
subditos -> 1
santas -> 1
valente -> 1
amigo -> 1
viste -> 1
phantasma -> 1
testemunhar -> 1
narração -> 1
temos -> 1
presenceado -> 1
noites -> 1
consecutivas -> 1
estrella -> 1
vêem -> 1
descreve -> 1
illuminar -> 1
torre -> 1
soava -> 1
usurpas -> 1
mostrava -> 1
nome -> 1
caminhando -> 1
tremura -> 1
positivo -> 1
irrecusavel -> 1
combateu -> 1
ambicioso -> 1
observação -> 1
presagio -> 1
armamentos -> 1
munições -> 1
enchem -> 1
operarios -> 1
arsenaes -> 1
referir -> 1
campo -> 1
orgulho -> 1
combate -> 1
justa -> 1
matou -> 1
estados -> 1
pertenceriam -> 1
porção -> 1
pacto -> 1
successão -> 1
direito -> 1
reuniu -> 1
fronteiras -> 1
promptos -> 1
soldada -> 1
audaciosos -> 1
retomar -> 1
armada -> 1
fraca -> 1
principal -> 1
preparativos -> 1
nota -> 1
julgo -> 1
vemos -> 1
passar -> 1
diante -> 1
postos -> 1
guarda -> 1
causador -> 1
argueiro -> 1
perturbar -> 1
tempos -> 1
gloriosos -> 1
florescentes -> 1
gritos -> 1
estrellas -> 1
após -> 1
rastos -> 1
signaes -> 1
appareceram -> 1
imperio -> 1
julgavam -> 1
precursores -> 1
correios -> 1
maus -> 1
fizeram -> 1
apparecer -> 1
opportuno -> 1
confiaste -> 1
entranhas -> 1
riquezas -> 1
divagaes -> 1
demonstrações -> 1
invulneravel -> 1
cantou -> 1
clarim -> 1
manhã -> 1
sonora -> 1
acabâmos -> 1
natividade -> 1
salvador -> 1
pretendem -> 1
nenhum -> 1
saír -> 1
nenhuma -> 1
exerce -> 1
surte -> 1
detrás -> 1
surge -> 1
vestida -> 1
demos -> 1
mudo -> 1
poderemos -> 1
cortezãos -> 1
amado -> 1
pareceria -> 1
estivessem -> 1
cobrisse -> 1
solo -> 1
impulsos -> 1
pensâmos -> 1
confundindo -> 1
dobrar -> 1
sinos -> 1
canticos -> 1
tomámos -> 1
comnosco -> 1
bellicoso -> 1
conjunctura -> 1
ouvimos -> 1
vossos -> 1
illustrados -> 1
livremente -> 1
imaginando -> 1
chorado -> 1
chimerica -> 1
legalmente -> 1
adquirido -> 1
valoroso -> 1
fallemos -> 1
jazendo -> 1
enfermo -> 1
fazem -> 1
levas -> 1
apresentar -> 1
idoso -> 1
negociações -> 1
conformeis -> 1
adstrictamente -> 1
celeridade -> 1
resultado -> 1
cordeal -> 1
podes -> 1
dinamarquez -> 1
poderias -> 1
sympathica -> 1
servir -> 1
dedicado -> 1
augusto -> 1
licença -> 1
assistir -> 1
cumprido -> 1
chamam -> 1
conceda -> 1
alcançaste -> 1
consentimento -> 1
acabei -> 1
partir -> 1
liberdade -> 1
dispores -> 1
proximos -> 1
brilha -> 1
lança -> 1
pegadas -> 1
glorioso -> 1
capa -> 1
lutos -> 1
papel -> 1
facil -> 1
fato -> 1
commovente -> 1
louvavel -> 1
prestados -> 1
sobrevivente -> 1
piedade -> 1
perseverar -> 1
afflicção -> 1
mostrar -> 1
teima -> 1
decretos -> 1
sabemos -> 1
occorrencias -> 1
deixou -> 1
abandona -> 1
queremos -> 1
saibam -> 1
proximo -> 1
terna -> 1
intenção -> 1
continuares -> 1
fiques -> 1
supplica -> 1
affectuosa -> 1
deferencia -> 1
naturalmente -> 1
enche -> 1
celebrar -> 1
libará -> 1
canhão -> 1
transmitta -> 1
repercutindo -> 1
eterno -> 1
fulminado -> 1
fastidiosos -> 1
vãos -> 1
gosos -> 1
inculto -> 1
ousassem -> 1
hyperion -> 1
ternura -> 1
brisa -> 1
deverei -> 1
fragilidade -> 1
calçado -> 1
feretro -> 1
banhada -> 1
privado -> 1
soccorro -> 1
leito -> 1
guarde -> 1
folgo -> 1
obrigou -> 1
consentiria -> 1
inimigo -> 1
forçar -> 1
crer -> 1
forte -> 1
trazer -> 1
contarás -> 1
copos -> 1
camarada -> 1
casamento -> 1
banquete -> 1
viandas -> 1
quizera -> 1
despontar -> 1
rival -> 1
acalme -> 1
agitação -> 1
relatar -> 1
estavam -> 1
figura -> 1
parecida -> 1
atemorisados -> 1
viram -> 1
fulminados -> 1
ficaram -> 1
ousaram -> 1
tremulos -> 1
entrei -> 1
confirmando -> 1
voltou -> 1
estavamos -> 1
canto -> 1
espectro -> 1
dissimular -> 1
viseira -> 1
pallido -> 1
velarei -> 1
horrendas -> 1
sejaes -> 1
conservar -> 1
aconteça -> 1
reflexão -> 1
comvosco -> 1
onze -> 1
horas -> 1
suspeito -> 1
espero -> 1
impacientemente -> 1
socega -> 1
crimes -> 1
casa -> 1
propicios -> 1
vélas -> 1
ausencia -> 1
darás -> 1
frivola -> 1
moda -> 1
capricho -> 1
violeta -> 1
suave -> 1
perfume -> 1
dura -> 1
desenvolvimento -> 1
medida -> 1
proporções -> 1
expande -> 1
deslealdade -> 1
posição -> 1
vedada -> 1
escravo -> 1
ligados -> 1
voto -> 1
approvação -> 1
prestasses -> 1
encanto -> 1
envenenasses -> 1
castidade -> 1
luta -> 1
virgem -> 1
patenteia -> 1
escapa -> 1
predilectas -> 1
aurora -> 1
regada -> 1
puro -> 1
protecção -> 1
trava -> 1
salutar -> 1
sejas -> 1
pastores -> 1
indicam -> 1
ovelhas -> 1
escarpado -> 1
conduz -> 1
fogosos -> 1
trilham -> 1
devia -> 1
benção -> 1
beneficio -> 1
abençôo -> 1
grava -> 1
seguintes -> 1
execução -> 1
apressadamente -> 1
tomares -> 1
tenhas -> 1
vinculos -> 1
ouve -> 1
