Execution time for counter with probability 1/2: 0.008 seconds.

Number of words counted: 3180

Final word counting:

that -> 175
with -> 140
this -> 128
your -> 127
what -> 108
have -> 101
will -> 66
thou -> 54
they -> 53
shall -> 53
good -> 49
from -> 44
most -> 42
like -> 39
enter -> 38
such -> 38
would -> 37
hath -> 36
very -> 35
more -> 33
must -> 33
when -> 32
give -> 31
their -> 29
make -> 28
much -> 26
know -> 26
where -> 25
time -> 24
some -> 24
upon -> 23
speak -> 23
tell -> 23
should -> 23
which -> 22
than -> 22
them -> 21
there -> 21
these -> 21
whose -> 20
think -> 19
take -> 19
well -> 19
come -> 18
king -> 18
then -> 17
love -> 17
here -> 16
great -> 16
made -> 15
mine -> 15
world -> 15
into -> 15
against -> 14
heaven -> 14
might -> 14
thus -> 14
itself -> 14
thee -> 13
been -> 13
show -> 13
dear -> 13
poor -> 13
long -> 12
look -> 12
doth -> 12
cannot -> 12
sweet -> 12
till -> 12
both -> 12
before -> 11
hear -> 11
part -> 11
even -> 11
hamlet -> 11
though -> 11
pray -> 11
hold -> 10
once -> 10
hast -> 10
find -> 10
leave -> 10
within -> 10
soul -> 10
call -> 10
never -> 10
therefore -> 9
does -> 9
those -> 9
death -> 9
bear -> 9
exeunt -> 9
were -> 9
keep -> 9
means -> 9
could -> 9
copies -> 9
rosencrantz -> 9
seen -> 8
comes -> 8
something -> 8
hand -> 8
about -> 8
thoughts -> 8
makes -> 8
follow -> 8
electronic -> 8
nothing -> 8
down -> 7
stand -> 7
live -> 7
fair -> 7
form -> 7
believe -> 7
goes -> 7
head -> 7
other -> 7
almost -> 7
earth -> 7
life -> 7
duty -> 7
best -> 7
ever -> 7
noble -> 7
first -> 7
mother -> 7
given -> 7
words -> 7
draw -> 7
distributed -> 7
queen -> 7
madness -> 7
kind -> 7
players -> 7
after -> 7
scene -> 6
horatio -> 6
thing -> 6
same -> 6
question -> 6
denmark -> 6
without -> 6
true -> 6
fell -> 6
father -> 6
little -> 6
still -> 6
room -> 6
personal -> 6
alone -> 6
grace -> 6
seem -> 6
excellent -> 6
body -> 6
wicked -> 6
else -> 6
himself -> 6
every -> 6
said -> 6
yourself -> 6
between -> 6
since -> 6
mellon -> 6
others -> 6
prohibited -> 6
commercial -> 6
download -> 6
play -> 6
fine -> 6
watch -> 5
exit -> 5
dead -> 5
thought -> 5
through -> 5
walk -> 5
laertes -> 5
whole -> 5
full -> 5
indeed -> 5
things -> 5
fellow -> 5
word -> 5
youth -> 5
virtue -> 5
lies -> 5
second -> 5
wind -> 5
please -> 5
lord -> 5
free -> 5
many -> 5
near -> 5
bring -> 5
complete -> 5
done -> 5
needs -> 5
readable -> 5
distribution -> 5
includes -> 5
whom -> 5
three -> 5
thank -> 5
laid -> 5
last -> 4
star -> 4
break -> 4
mark -> 4
fear -> 4
together -> 4
warlike -> 4
majesty -> 4
haste -> 4
unto -> 4
coming -> 4
being -> 4
heard -> 4
whether -> 4
truth -> 4
dare -> 4
stir -> 4
memory -> 4
nature -> 4
further -> 4
came -> 4
less -> 4
mind -> 4
flesh -> 4
face -> 4
name -> 4
drink -> 4
each -> 4
away -> 4
shot -> 4
neither -> 4
remember -> 4
daughter -> 4
blood -> 4
hour -> 4
takes -> 4
general -> 4
cries -> 4
wilt -> 4
days -> 4
went -> 4
instant -> 4
damned -> 4
sure -> 4
offence -> 4
under -> 4
help -> 4
version -> 4
works -> 4
copyright -> 4
machine -> 4
used -> 4
breathe -> 4
passion -> 4
letters -> 4
ourselves -> 4
grief -> 4
hide -> 4
rest -> 4
cause -> 4
whereon -> 4
pass -> 4
gave -> 4
dost -> 4
either -> 4
themselves -> 4
speech -> 4
speaks -> 4
england -> 4
poison -> 4
sense -> 4
struck -> 3
meet -> 3
honest -> 3
again -> 3
says -> 3
eyes -> 3
nights -> 3
night -> 3
gone -> 3
particular -> 3
fortinbras -> 3
young -> 3
terms -> 3
motive -> 3
state -> 3
stands -> 3
ghost -> 3
stay -> 3
treasure -> 3
spirits -> 3
guilty -> 3
spirit -> 3
gracious -> 3
dumb -> 3
morning -> 3
late -> 3
dream -> 3
lost -> 3
business -> 3
uncle -> 3
news -> 3
reason -> 3
dread -> 3
slow -> 3
beseech -> 3
cousin -> 3
thine -> 3
seek -> 3
lives -> 3
bound -> 3
heart -> 3
grows -> 3
rank -> 3
winds -> 3
teach -> 3
deep -> 3
prithee -> 3
while -> 3
knew -> 3
hands -> 3
methought -> 3
pale -> 3
beard -> 3
foul -> 3
grow -> 3
honour -> 3
chaste -> 3
enough -> 3
none -> 3
effect -> 3
double -> 3
dull -> 3
