Execution time for counter with probability 1/2: 0.017 seconds.

Number of words counted: 4839

Final word counting:

vous -> 236
dans -> 170
pour -> 163
nous -> 114
plus -> 112
votre -> 104
comme -> 100
mais -> 91
cette -> 86
avec -> 83
tout -> 79
fait -> 63
sont -> 60
bien -> 51
même -> 47
cela -> 46
leur -> 44
elle -> 42
hamlet -> 40
aussi -> 40
quelque -> 39
notre -> 38
sans -> 38
faire -> 37
point -> 35
ainsi -> 33
premier -> 32
temps -> 32
dont -> 32
tous -> 32
quand -> 31
soit -> 31
trop -> 29
encore -> 28
être -> 28
toute -> 27
vers -> 24
leurs -> 24
reine -> 24
deux -> 22
avait -> 22
peut -> 22
autre -> 22
jamais -> 22
scène -> 21
toutes -> 21
était -> 21
rien -> 20
suis -> 20
sera -> 20
fois -> 19
quel -> 19
jeune -> 19
mort -> 19
entre -> 19
donc -> 18
telle -> 18
maintenant -> 17
dire -> 17
depuis -> 17
faut -> 16
contre -> 15
donner -> 15
corps -> 15
comment -> 15
guildenstern -> 15
coeur -> 14
pourquoi -> 14
celui -> 14
avez -> 14
tête -> 14
avoir -> 14
quoi -> 14
devant -> 13
chose -> 13
chaque -> 13
ciel -> 13
sous -> 13
monde -> 13
veux -> 13
doit -> 13
souvent -> 13
faites -> 13
second -> 13
langue -> 13
propre -> 13
vient -> 12
quant -> 12
parler -> 12
voici -> 12
tant -> 12
quelle -> 12
selon -> 12
beaucoup -> 12
avons -> 11
ceci -> 11
serait -> 11
grand -> 11
avant -> 11
voilà -> 11
moins -> 11
père -> 11
homme -> 11
pauvre -> 11
paroles -> 11
sens -> 11
shakspeare -> 11
bonne -> 10
veut -> 10
alors -> 10
êtes -> 10
jour -> 10
mettre -> 10
gens -> 10
toujours -> 10
prendre -> 10
puisse -> 9
dieu -> 9
vieux -> 9
porte -> 9
mieux -> 9
trois -> 9
double -> 9
sorte -> 9
chez -> 9
loin -> 9
comédiens -> 9
garde -> 8
noble -> 8
terre -> 8
aurait -> 8
porter -> 8
mère -> 8
yeux -> 8
appartement -> 8
sang -> 8
donne -> 8
puisque -> 8
lieu -> 8
tiens -> 8
bons -> 8
puis -> 8
ceux -> 8
pièce -> 8
pense -> 7
celle -> 7
voudrait -> 7
forme -> 7
près -> 7
sais -> 7
cause -> 7
presque -> 7
voix -> 7
moment -> 7
voir -> 7
aucun -> 7
pouvoir -> 7
crois -> 7
fort -> 7
seul -> 7
assez -> 7
peine -> 7
sois -> 7
rendre -> 7
seulement -> 7
tendre -> 7
texte -> 7
polonius -> 7
laërtes -> 7
raison -> 7
mauvais -> 7
nature -> 7
vertu -> 7
vrai -> 7
seigneur -> 7
cher -> 7
elles -> 7
quels -> 7
aura -> 7
femme -> 7
fils -> 7
pourrait -> 7
folie -> 7
sommes -> 7
rosencrantz -> 7
autour -> 7
petit -> 6
force -> 6
autres -> 6
part -> 6
souvenir -> 6
pleine -> 6
danemark -> 6
pensées -> 6
aller -> 6
dois -> 6
semble -> 6
ophélia -> 6
hors -> 6
venir -> 6
fille -> 6
jours -> 6
coup -> 6
envoyé -> 6
amour -> 6
plaît -> 6
doute -> 6
pourtant -> 6
changer -> 6
doigts -> 6
coupe -> 6
soyez -> 5
afin -> 5
pendant -> 5
majesté -> 5
témoignage -> 5
main -> 5
train -> 5
grande -> 5
viennent -> 5
soient -> 5
durant -> 5
parmi -> 5
vouloir -> 5
frère -> 5
front -> 5
joie -> 5
tandis -> 5
lettres -> 5
perdre -> 5
plutôt -> 5
volonté -> 5
canon -> 5
pouvait -> 5
combien -> 5
vois -> 5
mains -> 5
voudrais -> 5
langage -> 5
aucune -> 5
chère -> 5
déjà -> 5
beauté -> 5
enfants -> 5
personne -> 5
quelques -> 5
vent -> 5
convient -> 5
vais -> 5
haut -> 5
coutume -> 5
parce -> 5
grâce -> 5
laisse -> 5
fond -> 5
donné -> 5
fautes -> 5
serez -> 5
précieux -> 5
propos -> 5
pourra -> 5
sainte -> 5
passage -> 5
fleurs -> 5
reste -> 5
vérité -> 5
autant -> 5
laisser -> 5
beau -> 5
belle -> 5
manque -> 5
vengeance -> 5
jouer -> 5
personnage -> 5
doux -> 5
mérite -> 5
font -> 5
mots -> 5
place -> 5
bernardo -> 4
mille -> 4
horatio -> 4
marcellus -> 4
pris -> 4
partie -> 4
pourrais -> 4
fasse -> 4
vont -> 4
acte -> 4
semblable -> 4
prologue -> 4
secret -> 4
cacher -> 4
nulle -> 4
trouver -> 4
faisant -> 4
fantôme -> 4
écrit -> 4
quoique -> 4
regarde -> 4
mourir -> 4
livrée -> 4
envers -> 4
choses -> 4
cadavre -> 4
longtemps -> 4
affaire -> 4
passe -> 4
tristesse -> 4
couleur -> 4
auquel -> 4
mesure -> 4
croire -> 4
rang -> 4
droit -> 4
craignez -> 4
manière -> 4
consacré -> 4
circonstances -> 4
trompettes -> 4
faite -> 4
signifie -> 4
voit -> 4
récit -> 4
étaient -> 4
vite -> 4
après -> 4
montre -> 4
allons -> 4
suite -> 4
siècle -> 4
demander -> 4
ayant -> 4
puissent -> 4
finira -> 4
entrer -> 4
passion -> 4
besoin -> 4
services -> 4
sait -> 4
nouvelles -> 4
soldats -> 4
soleil -> 4
laissé -> 4
doubt -> 4
anglais -> 4
tantôt -> 4
certitude -> 4
derrière -> 4
frappe -> 4
théâtre -> 4
avaient -> 4
diverses -> 4
bientôt -> 4
seconde -> 4
fais -> 4
rôles -> 4
parle -> 4
bouche -> 4
pyrrhus -> 4
douze -> 4
action -> 4
personnages -> 4
galant -> 4
fleur -> 4
juste -> 4
croit -> 4
gros -> 4
soupirs -> 4
james -> 4
venez -> 3
compagnons -> 3
morceau -> 3
prise -> 3
voyage -> 3
peur -> 3
ensemble -> 3
laquelle -> 3
propres -> 3
justement -> 3
étrange -> 3
rude -> 3
hâte -> 3
dernier -> 3
fortinbras -> 3
connu -> 3
voie -> 3
voyez -> 3
figure -> 3
tombe -> 3
morts -> 3
sort -> 3
montrer -> 3
trésor -> 3
coupable -> 3
haute -> 3
esprits -> 3
venons -> 3
disent -> 3
esprit -> 3
salle -> 3
entier -> 3
oncle -> 3
peuvent -> 3
honorable -> 3
cousin -> 3
douce -> 3
profit -> 3
visage -> 3
suivi -> 3
discours -> 3
serviteur -> 3
quitter -> 3
oreille -> 3
violence -> 3
venu -> 3
troisième -> 3
vraie -> 3
barbe -> 3
lorsque -> 3
regardez -> 3
violette -> 3
jeunesse -> 3
masse -> 3
pensée -> 3
sujet -> 3
choix -> 3
rôle -> 3
prodigue -> 3
suivre -> 3
bénédiction -> 3
goût -> 3
appeler -> 3
donnait -> 3
serments -> 3
tient -> 3
danse -> 3
arrive -> 3
créature -> 3
signe -> 3
endroit -> 3
petite -> 3
parole -> 3
noires -> 3
ferait -> 3
chacun -> 3
cheveux -> 3
aimé -> 3
trouve -> 3
entendre -> 3
court -> 3
servir -> 3
crâne -> 3
connaître -> 3
jurez -> 3
épée -> 3
voyant -> 3
tels -> 3
savez -> 3
chambre -> 3
trouvent -> 3
connais -> 3
charge -> 3
passer -> 3
chapeau -> 3
voulu -> 3
soupir -> 3
semblait -> 3
chemin -> 3
conscience -> 3
saurais -> 3
plaisirs -> 3
hasard -> 3
visite -> 3
ordre -> 3
présence -> 3
trouvé -> 3
seront -> 3
telles -> 3
crime -> 3
dirait -> 3
quelles -> 3
seule -> 3
assurément -> 3
devenu -> 3
jugement -> 3
devoirs -> 3
admirable -> 3
rire -> 3
portant -> 3
pourront -> 3
furent -> 3
tour -> 3
vogue -> 3
jeunes -> 3
très -> 3
seigneurie -> 3
matière -> 3
scènes -> 3
verra -> 3
priam -> 3
talons -> 3
mise -> 3
démon -> 3
allusion -> 3
spectateurs -> 3
repos -> 3
apprendre -> 3
porté -> 3
ferons -> 3
miroir -> 3
pénètre -> 3
dada -> 3
cheval -> 3
petits -> 3
prenait -> 3
veulent -> 3
messager -> 3
triple -> 3
faute -> 3
faudrait -> 3
neuf -> 3
quatrième -> 3
traduction -> 3
âmes -> 3
chanson -> 3
gentilhomme -> 3
haie -> 3
paysan -> 3
répondez -> 2
rencontrez -> 2
hommes -> 2
pure -> 2
terrible -> 2
regards -> 2
dernière -> 2
heure -> 2
nuit -> 2
polonais -> 2
travailler -> 2
annonce -> 2
abondante -> 2
nuits -> 2
combat -> 2
excité -> 2
tenait -> 2
scellé -> 2
formes -> 2
resté -> 2
plein -> 2
entreprise -> 2
convaincu -> 2
milieu -> 2
ravages -> 2
marche -> 2
compter -> 2
soulagement -> 2
évanoui -> 2
chante -> 2
muet -> 2
matin -> 2
seigneurs -> 2
royaume -> 2
combattant -> 2
douleur -> 2
empire -> 2
pesant -> 2
plaisir -> 2
allure -> 2
cours -> 2
pouvons -> 2
sceaux -> 2
offre -> 2
congé -> 2
retourner -> 2
devoir -> 2
obtenir -> 2
gracieux -> 2
usage -> 2
excellente -> 2
noir -> 2
souffle -> 2
actions -> 2
devez -> 2
perdu -> 2
affliction -> 2
chagrin -> 2
simple -> 2
vulgaire -> 2
péché -> 2
cessé -> 2
proche -> 2
dessein -> 2
prières -> 2
demeure -> 2
souriant -> 2
chair -> 2
meurtre -> 2
semblent -> 2
sauvages -> 2
mois -> 2
souliers -> 2
fussent -> 2
lesquels -> 2
ressemble -> 2
larmes -> 2
tourner -> 2
motif -> 2
voudrez -> 2
bords -> 2
meilleur -> 2
pied -> 2
apparaît -> 2
mouvoir -> 2
blason -> 2
tenir -> 2
prie -> 2
caché -> 2
heures -> 2
maison -> 2
fantaisie -> 2
parfum -> 2
santé -> 2
sagesse -> 2
perte -> 2
honneur -> 2
danger -> 2
pousse -> 2
mémoire -> 2
amis -> 2
prête -> 2
surtout -> 2
faux -> 2
prends -> 2
touchant -> 2
loisir -> 2
aviez -> 2
comprenez -> 2
comptant -> 2
autorité -> 2
pièges -> 2
prêter -> 2
aussitôt -> 2
chaleur -> 2
promesses -> 2
mêmes -> 2
mettez -> 2
longue -> 2
croyez -> 2
projets -> 2
respirer -> 2
parlant -> 2
entend -> 2
boit -> 2
gigue -> 2
pays -> 2
hauteur -> 2
moelle -> 2
tache -> 2
vice -> 2
manières -> 2
