Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 4222

Final word counting:

hamlet -> 211
para -> 119
mais -> 96
como -> 74
minha -> 73
horacio -> 62
rainha -> 53
polonio -> 48
porque -> 42
está -> 39
laerte -> 37
rosencrantz -> 37
ophelia -> 33
esta -> 30
quem -> 29
suas -> 29
quando -> 27
seus -> 27
ainda -> 26
este -> 25
primeiro -> 24
elle -> 24
quanto -> 24
tudo -> 24
assim -> 23
vossa -> 23
sobre -> 22
nada -> 21
todos -> 21
guildenstern -> 21
coveiro -> 21
pelo -> 20
esse -> 20
então -> 19
marcello -> 19
alguma -> 19
seja -> 19
qual -> 18
pois -> 18
pela -> 18
póde -> 18
agora -> 17
onde -> 17
homem -> 16
osrico -> 16
bernardo -> 15
verdade -> 15
sombra -> 15
antes -> 15
toda -> 15
nossa -> 15
tempo -> 15
será -> 15
sempre -> 15
entram -> 14
todas -> 14
pouco -> 13
meus -> 13
nosso -> 13
segundo -> 13
morte -> 13
depois -> 13
entre -> 13
senhor -> 13
tambem -> 12
estão -> 12
mesmo -> 12
corpo -> 12
parte -> 12
parece -> 12
nunca -> 12
teus -> 12
coração -> 12
deve -> 12
ella -> 12
entra -> 12
noite -> 11
deus -> 11
causa -> 11
certo -> 11
alma -> 11
amor -> 11
muito -> 11
tenho -> 11
rinaldo -> 11
fallar -> 10
senão -> 10
tanto -> 10
mundo -> 10
palavras -> 10
hoje -> 10
dois -> 10
talvez -> 10
peça -> 10
scena -> 9
vezes -> 9
debaixo -> 9
proprio -> 9
nossos -> 9
virtude -> 9
estes -> 9
vida -> 9
affeição -> 9
quero -> 9
minhas -> 9
sejam -> 9
tuas -> 9
duas -> 8
essa -> 8
estado -> 8
grande -> 8
fortimbraz -> 8
embora -> 8
acção -> 8
cujo -> 8
cabeça -> 8
sinto -> 8
acto -> 8
estou -> 8
seria -> 8
principe -> 8
outro -> 8
actores -> 8
alteza -> 8
castello -> 7
todo -> 7
cousa -> 7
tinha -> 7
aquelle -> 7
estas -> 7
joven -> 7
lhes -> 7
terra -> 7
dizer -> 7
dinamarca -> 7
querido -> 7
cada -> 7
algum -> 7
melhor -> 7
sangue -> 7
esses -> 7
fosse -> 7
vista -> 7
filho -> 7
emquanto -> 6
possa -> 6
quer -> 6
posso -> 6
cuja -> 6
olhos -> 6
cadaver -> 6
forçoso -> 6
mãos -> 6
propria -> 6
flores -> 6
receio -> 6
elsenor -> 6
contra -> 6
capaz -> 6
mensageiro -> 6
cartas -> 6
bemvindos -> 6
demasiado -> 6
actor -> 6
seis -> 6
houve -> 5
vamos -> 5
momento -> 5
pelas -> 5
mesma -> 5
menos -> 5
maior -> 5
corôa -> 5
fazer -> 5
olhar -> 5
lagrimas -> 5
senhores -> 5
elles -> 5
queria -> 5
quarto -> 5
querida -> 5
perigo -> 5
logar -> 5
outra -> 5
palavra -> 5
pensamento -> 5
pelos -> 5
ouvido -> 5
peso -> 5
idade -> 5
vendo -> 5
leve -> 5
vale -> 5
seguir -> 5
fronte -> 5
inglaterra -> 5
francisco -> 4
meia -> 4
chegam -> 4
creio -> 4
temos -> 4
nome -> 4
igual -> 4
direito -> 4
comtudo -> 4
força -> 4
porte -> 4
isso -> 4
devo -> 4
presença -> 4
golpes -> 4
signal -> 4
nenhuma -> 4
sala -> 4
aquella -> 4
conhece -> 4
nossas -> 4
bôca -> 4
licença -> 4
vosso -> 4
vontade -> 4
aindaque -> 4
peito -> 4
revelar -> 4
verdadeira -> 4
durante -> 4
pobre -> 4
tivesse -> 4
teria -> 4
mulher -> 4
meio -> 4
tres -> 4
segredo -> 4
novas -> 4
posição -> 4
outros -> 4
gosto -> 4
disse -> 4
laços -> 4
qualquer -> 4
estar -> 4
poisque -> 4
demonio -> 4
almas -> 4
sabe -> 4
nobre -> 4
digno -> 4
havia -> 4
veneno -> 4
têem -> 4
actos -> 4
saber -> 4
fundo -> 4
poderia -> 4
demencia -> 4
similhante -> 4
fortuna -> 4
aqui -> 4
obra -> 4
pyrrho -> 4
assassino -> 4
armado -> 4
crime -> 4
ponta -> 4
vejo -> 4
pensar -> 4
chega -> 4
ordens -> 4
official -> 4
sagrado -> 4
agua -> 4
alexandre -> 4
explanada -> 3
boas -> 3
façam -> 3
bemvindo -> 3
apparição -> 3
noites -> 3
