Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 3180

Final word counting:

that -> 180
this -> 125
with -> 123
your -> 114
what -> 91
have -> 89
will -> 74
shall -> 62
good -> 57
thou -> 52
would -> 48
they -> 44
most -> 43
more -> 43
from -> 39
very -> 38
like -> 36
enter -> 35
which -> 33
where -> 32
upon -> 31
there -> 31
know -> 31
hath -> 30
their -> 30
some -> 29
must -> 29
come -> 28
make -> 27
should -> 27
such -> 25
give -> 24
than -> 24
much -> 23
time -> 23
when -> 22
then -> 22
speak -> 20
king -> 20
love -> 20
them -> 18
think -> 18
tell -> 18
thee -> 17
take -> 17
look -> 17
these -> 17
hear -> 16
pray -> 16
hold -> 15
against -> 15
thus -> 15
whose -> 15
here -> 15
could -> 15
long -> 14
though -> 14
great -> 14
both -> 14
queen -> 14
heaven -> 13
might -> 13
well -> 13
father -> 13
leave -> 13
itself -> 13
call -> 13
scene -> 12
doth -> 12
show -> 12
exeunt -> 12
even -> 11
world -> 11
were -> 11
poor -> 11
lord -> 11
makes -> 11
never -> 11
after -> 11
before -> 10
live -> 10
thing -> 10
made -> 10
mine -> 10
does -> 10
been -> 10
young -> 10
head -> 10
dear -> 10
cannot -> 10
noble -> 10
youth -> 10
keep -> 10
seen -> 9
fear -> 9
majesty -> 9
hamlet -> 9
little -> 9
find -> 9
room -> 9
death -> 9
nature -> 9
sweet -> 9
into -> 9
rosencrantz -> 9
nothing -> 9
down -> 8
once -> 8
part -> 8
almost -> 8
soul -> 8
many -> 8
follow -> 8
sent -> 8
cause -> 8
players -> 8
therefore -> 7
comes -> 7
mark -> 7
fair -> 7
something -> 7
believe -> 7
without -> 7
true -> 7
dead -> 7
other -> 7
still -> 7
earth -> 7
being -> 7
reason -> 7
thoughts -> 7
first -> 7
till -> 7
himself -> 7
copies -> 7
distributed -> 7
rest -> 7
madness -> 7
kind -> 7
last -> 6
night -> 6
same -> 6
question -> 6
together -> 6
haste -> 6
unto -> 6
hand -> 6
life -> 6
about -> 6
bear -> 6
full -> 6
duty -> 6
beseech -> 6
best -> 6
indeed -> 6
back -> 6
mother -> 6
seem -> 6
name -> 6
while -> 6
else -> 6
grow -> 6
said -> 6
please -> 6
words -> 6
another -> 6
electronic -> 6
copyright -> 6
provided -> 6
project -> 6
machine -> 6
commercial -> 6
letters -> 6
grief -> 6
dost -> 6
speech -> 6
answer -> 5
friends -> 5
eyes -> 5
particular -> 5
those -> 5
ghost -> 5
whole -> 5
lose -> 5
dread -> 5
within -> 5
excellent -> 5
body -> 5
wicked -> 5
service -> 5
virtue -> 5
none -> 5
means -> 5
yourself -> 5
custom -> 5
since -> 5
bring -> 5
days -> 5
shakespeare -> 5
carnegie -> 5
readable -> 5
includes -> 5
passion -> 5
guildenstern -> 5
play -> 5
deed -> 5
stand -> 4
piece -> 4
again -> 4
says -> 4
watch -> 4
break -> 4
form -> 4
denmark -> 4
exit -> 4
thought -> 4
goes -> 4
stay -> 4
wherein -> 4
morning -> 4
laertes -> 4
better -> 4
dream -> 4
writ -> 4
personal -> 4
doubt -> 4
news -> 4
ever -> 4
shows -> 4
heart -> 4
mind -> 4
throw -> 4
gentle -> 4
tears -> 4
deep -> 4
methought -> 4
away -> 4
fare -> 4
enough -> 4
lies -> 4
second -> 4
every -> 4
remember -> 4
given -> 4
understand -> 4
between -> 4
tongue -> 4
complete -> 4
draw -> 4
wilt -> 4
done -> 4
ears -> 4
didst -> 4
wholesome -> 4
works -> 4
etext -> 4
mellon -> 4
university -> 4
others -> 4
prohibited -> 4
distribution -> 4
charges -> 4
download -> 4
ourselves -> 4
gave -> 4
herself -> 4
matter -> 4
drown -> 4
hope -> 4
quick -> 4
fine -> 4
water -> 4
sick -> 3
twice -> 3
nights -> 3
course -> 3
warlike -> 3
buried -> 3
sometimes -> 3
charge -> 3
cast -> 3
lands -> 3
fell -> 3
main -> 3
motive -> 3
through -> 3
high -> 3
state -> 3
hast -> 3
walk -> 3
spirit -> 3
truth -> 3
season -> 3
power -> 3
memory -> 3
sorrow -> 3
late -> 3
uncle -> 3
hears -> 3
further -> 3
told -> 3
native -> 3
came -> 3
hang -> 3
common -> 3
fault -> 3
note -> 3
obey -> 3
loving -> 3
health -> 3
grows -> 3
things -> 3
visit -> 3
face -> 3
change -> 3
report -> 3
prithee -> 3
forth -> 3
each -> 3
pale -> 3
beard -> 3
perchance -> 3
hell -> 3
inward -> 3
choice -> 3
wind -> 3
dull -> 3
neither -> 3
false -> 3
humbly -> 3
fashion -> 3
blood -> 3
light -> 3
command -> 3
hour -> 3
near -> 3
infinite -> 3
mean -> 3
making -> 3
action -> 3
desperate -> 3
pity -> 3
shalt -> 3
crimes -> 3
murther -> 3
went -> 3
court -> 3
sudden -> 3
vile -> 3
damned -> 3
table -> 3
commandment -> 3
needs -> 3
help -> 3
fingers -> 3
version -> 3
william -> 3
used -> 3
took -> 3
judgment -> 3
lack -> 3
move -> 3
entreat -> 3
brought -> 3
sovereign -> 3
found -> 3
whereon -> 3
three -> 3
rather -> 3
round -> 3
parts -> 3
either -> 3
lady -> 3
themselves -> 3
carry -> 3
only -> 3
french -> 3
sword -> 3
fall -> 3
proof -> 3
treason -> 3
mortal -> 3
visage -> 3
pate -> 3
bestow -> 3
sleep -> 3
turn -> 3
breath -> 3
fool -> 3
feed -> 3
kill -> 3
husband -> 3
sense -> 3
sing -> 3
