Execution time for counter with probability 1/2: 0.01 seconds.

Number of words counted: 4839

Final word counting:

vous -> 227
dans -> 197
pour -> 155
nous -> 129
plus -> 110
votre -> 108
comme -> 107
cette -> 88
mais -> 82
tout -> 77
avec -> 74
fait -> 58
bien -> 51
notre -> 50
cela -> 45
sont -> 44
quelque -> 43
même -> 42
elle -> 40
faire -> 39
aussi -> 38
ainsi -> 37
sans -> 36
hamlet -> 35
leur -> 35
dont -> 34
premier -> 33
encore -> 32
point -> 32
tous -> 31
être -> 31
toute -> 30
quand -> 28
trop -> 27
temps -> 26
soit -> 25
suis -> 25
avait -> 24
était -> 24
rien -> 22
entre -> 22
donc -> 22
contre -> 21
toutes -> 21
autre -> 21
reine -> 21
shakspeare -> 21
vers -> 20
deux -> 19
maintenant -> 19
jamais -> 19
chose -> 18
fois -> 18
scène -> 17
peut -> 17
mort -> 17
quant -> 16
dire -> 16
quelle -> 16
homme -> 16
alors -> 15
veux -> 15
leurs -> 15
sens -> 15
pourquoi -> 14
sous -> 14
jeune -> 14
grand -> 14
tête -> 14
selon -> 14
depuis -> 14
avoir -> 14
quoi -> 14
serait -> 13
doit -> 13
seulement -> 13
faut -> 13
pauvre -> 13
paroles -> 13
faites -> 13
telle -> 13
propre -> 13
fils -> 13
vient -> 12
chaque -> 12
parler -> 12
mettre -> 12
père -> 12
mère -> 12
raison -> 12
yeux -> 12
sera -> 12
forme -> 11
êtes -> 11
main -> 11
avant -> 11
voilà -> 11
dieu -> 11
seul -> 11
donner -> 11
moins -> 11
trois -> 11
déjà -> 11
second -> 11
beaucoup -> 11
femme -> 11
bonne -> 10
veut -> 10
puisse -> 10
ciel -> 10
celle -> 10
monde -> 10
soient -> 10
tant -> 10
texte -> 10
souvent -> 10
donne -> 10
comment -> 10
pourrait -> 10
guildenstern -> 10
comédiens -> 10
noble -> 9
jour -> 9
cause -> 9
pensées -> 9
corps -> 9
ophélia -> 9
nature -> 9
fille -> 9
cher -> 9
donné -> 9
suite -> 9
folie -> 9
ceux -> 9
pièce -> 9
devant -> 8
mille -> 8
garde -> 8
soyez -> 8
avons -> 8
pendant -> 8
voici -> 8
ceci -> 8
près -> 8
quel -> 8
sais -> 8
celui -> 8
autres -> 8
moment -> 8
fort -> 8
vieux -> 8
avez -> 8
aller -> 8
porte -> 8
envers -> 8
choses -> 8
mieux -> 8
combien -> 8
toujours -> 8
hors -> 8
quelques -> 8
après -> 8
sorte -> 8
bons -> 8
puis -> 8
mots -> 8
petit -> 7
semblable -> 7
force -> 7
terre -> 7
voix -> 7
tandis -> 7
assez -> 7
pleine -> 7
tendre -> 7
mauvais -> 7
vertu -> 7
gens -> 7
double -> 7
seigneur -> 7
prendre -> 7
reste -> 7
autant -> 7
sommes -> 7
jeunes -> 7
action -> 7
pense -> 6
pris -> 6
afin -> 6
dernière -> 6
nuit -> 6
acte -> 6
train -> 6
grande -> 6
voir -> 6
esprit -> 6
parmi -> 6
part -> 6
souvenir -> 6
peine -> 6
pouvez -> 6
oreille -> 6
affaire -> 6
langage -> 6
appartement -> 6
sang -> 6
beauté -> 6
venir -> 6
vent -> 6
vrai -> 6
vais -> 6
langue -> 6
mettez -> 6
haut -> 6
elles -> 6
