Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 4222

Final word counting:

hamlet -> 199
para -> 121
como -> 89
mais -> 85
minha -> 81
horacio -> 64
rainha -> 52
polonio -> 43
está -> 39
porque -> 36
seus -> 36
laerte -> 36
rosencrantz -> 33
este -> 32
suas -> 31
ophelia -> 31
coveiro -> 31
quem -> 30
esta -> 30
quanto -> 30
nada -> 28
vossa -> 27
quando -> 26
todos -> 26
primeiro -> 23
elle -> 23
então -> 23
guildenstern -> 22
assim -> 21
nosso -> 21
tudo -> 21
qual -> 20
pois -> 20
pelo -> 19
esse -> 19
toda -> 19
póde -> 19
marcello -> 18
sombra -> 18
meus -> 17
sempre -> 17
osrico -> 17
estão -> 16
alguma -> 16
depois -> 16
nossa -> 16
sobre -> 16
todas -> 16
agora -> 15
ainda -> 15
nunca -> 15
entre -> 15
entram -> 15
entra -> 15
mesmo -> 14
pela -> 14
seja -> 14
será -> 14
bernardo -> 13
tambem -> 13
tinha -> 13
tempo -> 13
homem -> 13
dois -> 13
minhas -> 13
essa -> 12
antes -> 12
estou -> 12
muito -> 12
seria -> 12
deus -> 11
morte -> 11
cujo -> 11
vida -> 11
onde -> 11
amor -> 11
scena -> 10
todo -> 10
nossos -> 10
cuja -> 10
deve -> 10
quarto -> 10
tenho -> 10
outro -> 10
peça -> 10
castello -> 9
emquanto -> 9
verdade -> 9
pouco -> 9
parte -> 9
causa -> 9
grande -> 9
rasão -> 9
terra -> 9
senão -> 9
senhor -> 9
apenas -> 9
ella -> 9
sangue -> 9
contra -> 9
duas -> 8
vamos -> 8
noite -> 8
cousa -> 8
proprio -> 8
segundo -> 8
virtude -> 8
lhes -> 8
acção -> 8
dizer -> 8
tanto -> 8
motivo -> 8
magestade -> 8
teus -> 8
palavras -> 8
coração -> 8
ponto -> 8
hoje -> 8
acto -> 8
quero -> 8
tivesse -> 8
sejam -> 8
rinaldo -> 8
aqui -> 8
actores -> 8
vezes -> 7
parece -> 7
fórma -> 7
aquelle -> 7
estes -> 7
cada -> 7
teria -> 7
queres -> 7
algum -> 7
fosse -> 7
têem -> 7
filho -> 7
cartas -> 7
modo -> 7
viva -> 6
meia -> 6
boas -> 6
corpo -> 6
debaixo -> 6
estado -> 6
caso -> 6
menos -> 6
embora -> 6
pessoas -> 6
dever -> 6
sala -> 6
fazer -> 6
querido -> 6
podem -> 6
sinto -> 6
cadaver -> 6
leito -> 6
tres -> 6
talvez -> 6
vista -> 6
sabe -> 6
havia -> 6
principe -> 6
demasiado -> 6
obra -> 6
actor -> 6
chegam -> 5
creio -> 5
possa -> 5
fallar -> 5
posso -> 5
pelas -> 5
territorio -> 5
olhos -> 5
vossos -> 5
nossas -> 5
cabeça -> 5
dinamarca -> 5
vontade -> 5
verdadeira -> 5
triste -> 5
estava -> 5
affeição -> 5
tanta -> 5
lagrimas -> 5
senhores -> 5
duvida -> 5
respeito -> 5
propria -> 5
outros -> 5
receio -> 5
poisque -> 5
esses -> 5
