Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 3180

Final word counting:

that -> 178
with -> 138
this -> 120
your -> 118
what -> 89
have -> 84
will -> 84
they -> 61
shall -> 60
from -> 55
good -> 43
thou -> 43
give -> 37
would -> 37
most -> 36
more -> 35
when -> 33
such -> 31
must -> 31
their -> 31
come -> 30
very -> 30
some -> 30
enter -> 29
upon -> 29
where -> 29
like -> 29
make -> 27
know -> 27
hath -> 26
there -> 26
then -> 26
should -> 25
tell -> 24
them -> 23
which -> 22
than -> 22
king -> 21
these -> 21
time -> 20
thee -> 19
hold -> 19
been -> 19
much -> 18
speak -> 18
cannot -> 18
love -> 18
whose -> 17
take -> 16
look -> 16
thus -> 16
doth -> 15
hamlet -> 15
were -> 15
call -> 15
could -> 15
well -> 14
think -> 13
made -> 13
part -> 13
world -> 13
here -> 13
father -> 13
dear -> 13
great -> 13
seen -> 12
might -> 12
mine -> 12
those -> 12
though -> 12
nature -> 12
pray -> 12
into -> 12
queen -> 12
scene -> 11
hear -> 11
does -> 11
young -> 11
still -> 11
death -> 11
till -> 11
itself -> 11
dost -> 11
long -> 10
against -> 10
show -> 10
bear -> 10
leave -> 10
many -> 10
bring -> 10
never -> 10
nothing -> 10
once -> 9
heaven -> 9
something -> 9
without -> 9
life -> 9
find -> 9
exeunt -> 9
duty -> 9
sweet -> 9
both -> 9
between -> 9
makes -> 9
rosencrantz -> 9
play -> 9
therefore -> 8
night -> 8
believe -> 8
little -> 8
earth -> 8
hast -> 8
mother -> 8
else -> 8
soul -> 8
keep -> 8
words -> 8
distributed -> 8
players -> 8
stand -> 7
last -> 7
comes -> 7
true -> 7
hand -> 7
heart -> 7
poor -> 7
while -> 7
foul -> 7
service -> 7
blood -> 7
since -> 7
electronic -> 7
william -> 7
university -> 7
copies -> 7
down -> 6
live -> 6
piece -> 6
thing -> 6
fear -> 6
together -> 6
particular -> 6
goes -> 6
unto -> 6
head -> 6
stay -> 6
heard -> 6
spirit -> 6
memory -> 6
full -> 6
personal -> 6
doubt -> 6
thoughts -> 6
seem -> 6
things -> 6
himself -> 6
second -> 6
means -> 6
near -> 6
follow -> 6
version -> 6
works -> 6
others -> 6
used -> 6
commercial -> 6
charges -> 6
grief -> 6
three -> 6
only -> 6
before -> 5
fair -> 5
majesty -> 5
exit -> 5
dead -> 5
cast -> 5
even -> 5
fell -> 5
through -> 5
about -> 5
wherein -> 5
room -> 5
laertes -> 5
news -> 5
lose -> 5
came -> 5
noble -> 5
indeed -> 5
within -> 5
mind -> 5
first -> 5
excellent -> 5
body -> 5
away -> 5
fare -> 5
youth -> 5
virtue -> 5
wisdom -> 5
none -> 5
wind -> 5
every -> 5
remember -> 5
please -> 5
daughter -> 5
done -> 5
grave -> 5
shakespeare -> 5
copyright -> 5
