Execution time for counter with probability 1/2: 0.013 seconds.

Number of words counted: 4839

Final word counting:

vous -> 228
dans -> 188
pour -> 148
nous -> 135
plus -> 115
comme -> 103
mais -> 93
votre -> 91
cette -> 88
avec -> 82
tout -> 65
bien -> 56
fait -> 55
sont -> 50
même -> 50
aussi -> 48
notre -> 45
cela -> 44
elle -> 41
sans -> 41
leur -> 40
encore -> 38
quelque -> 36
ainsi -> 35
être -> 35
faire -> 33
deux -> 32
soit -> 32
premier -> 31
tous -> 31
était -> 31
quand -> 31
dont -> 30
hamlet -> 29
trop -> 27
autre -> 26
toute -> 26
point -> 25
temps -> 24
avait -> 22
suis -> 22
telle -> 22
homme -> 21
rien -> 20
fois -> 20
dire -> 20
chaque -> 19
jamais -> 19
donc -> 19
peut -> 18
mort -> 18
tête -> 18
entre -> 18
leurs -> 18
contre -> 17
toutes -> 17
selon -> 17
shakspeare -> 17
quel -> 16
voici -> 15
maintenant -> 15
vers -> 15
corps -> 15
reine -> 15
scène -> 14
chose -> 14
noble -> 14
serait -> 14
jeune -> 14
mettre -> 14
voilà -> 14
avoir -> 14
devant -> 13
bonne -> 13
avant -> 13
presque -> 13
veux -> 13
quelle -> 13
doit -> 13
seulement -> 13
depuis -> 13
faut -> 13
quoi -> 13
comment -> 13
pourquoi -> 12
sous -> 12
celui -> 12
avez -> 12
paroles -> 12
faites -> 12
propre -> 12
vient -> 11
avons -> 11
alors -> 11
êtes -> 11
grand -> 11
autres -> 11
part -> 11
père -> 11
mieux -> 11
trois -> 11
toujours -> 11
beaucoup -> 11
jour -> 10
moment -> 10
dieu -> 10
voir -> 10
moins -> 10
aller -> 10
pauvre -> 10
yeux -> 10
langage -> 10
donne -> 10
langue -> 10
sorte -> 10
puis -> 10
veut -> 9
quant -> 9
puisse -> 9
monde -> 9
tant -> 9
peine -> 9
rendre -> 9
porte -> 9
hors -> 9
second -> 9
prendre -> 9
femme -> 9
sens -> 9
guildenstern -> 9
rosencrantz -> 9
comédiens -> 9
pris -> 8
parler -> 8
celle -> 8
forme -> 8
dernier -> 8
main -> 8
cause -> 8
seul -> 8
plutôt -> 8
envers -> 8
choses -> 8
texte -> 8
nature -> 8
vertu -> 8
déjà -> 8
double -> 8
sera -> 8
seigneur -> 8
vais -> 8
cher -> 8
propos -> 8
fils -> 8
sommes -> 8
action -> 8
pendant -> 7
voudrait -> 7
sais -> 7
force -> 7
voix -> 7
soient -> 7
donner -> 7
pouvez -> 7
sois -> 7
mère -> 7
combien -> 7
mains -> 7
lorsque -> 7
gens -> 7
droit -> 7
vent -> 7
puisque -> 7
montre -> 7
tiens -> 7
pourrait -> 7
conscience -> 7
tantôt -> 7
folie -> 7
autour -> 7
font -> 7
petit -> 6
afin -> 6
partie -> 6
ciel -> 6
hâte -> 6
fasse -> 6
voyez -> 6
grande -> 6
terre -> 6
aucun -> 6
crois -> 6
parmi -> 6
vouloir -> 6
faisant -> 6
porter -> 6
vieux -> 6
pensées -> 6
tendre -> 6
meurtre -> 6
