Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 4222

Final word counting:

hamlet -> 213
para -> 119
mais -> 88
como -> 84
minha -> 76
horacio -> 60
polonio -> 53
laerte -> 40
porque -> 36
está -> 35
rainha -> 35
rosencrantz -> 35
seus -> 33
este -> 31
suas -> 31
esta -> 30
ophelia -> 30
primeiro -> 28
vossa -> 28
quem -> 27
marcello -> 27
sobre -> 26
coveiro -> 26
todos -> 25
pela -> 24
tudo -> 24
ainda -> 23
nada -> 22
quando -> 22
elle -> 21
pois -> 21
então -> 20
qual -> 20
toda -> 19
onde -> 19
entra -> 18
esse -> 17
nossa -> 17
quanto -> 17
guildenstern -> 17
agora -> 16
mesmo -> 16
muito -> 16
alguma -> 15
pelo -> 15
assim -> 15
antes -> 15
póde -> 15
todas -> 15
homem -> 15
amor -> 15
osrico -> 15
essa -> 14
meus -> 14
nunca -> 14
morte -> 14
quero -> 14
sombra -> 13
nosso -> 13
segundo -> 13
lhes -> 13
depois -> 13
seja -> 13
tempo -> 13
será -> 13
minhas -> 13
sempre -> 13
estão -> 12
vida -> 12
entre -> 12
ella -> 12
seria -> 12
tenho -> 12
outro -> 12
bernardo -> 11
tambem -> 11
noite -> 11
parte -> 11
nossos -> 11
comtudo -> 11
teus -> 11
palavras -> 11
certo -> 11
todo -> 10
tinha -> 10
causa -> 10
senhor -> 10
estou -> 10
pouco -> 9
fallar -> 9
parece -> 9
proprio -> 9
cujo -> 9
senão -> 9
tanto -> 9
entram -> 9
alma -> 9
dois -> 9
algum -> 9
tuas -> 9
peça -> 9
possa -> 8
verdade -> 8
virtude -> 8
caso -> 8
menos -> 8
acção -> 8
deve -> 8
acto -> 8
quarto -> 8
fosse -> 8
francisco -> 7
viva -> 7
emquanto -> 7
corpo -> 7
deus -> 7
aquelle -> 7
cuja -> 7
joven -> 7
corôa -> 7
motivo -> 7
mundo -> 7
sinto -> 7
hoje -> 7
mãos -> 7
talvez -> 7
esses -> 7
outra -> 7
pelos -> 7
rinaldo -> 7
filho -> 7
scena -> 6
castello -> 6
houve -> 6
chegam -> 6
debaixo -> 6
nome -> 6
estado -> 6
dias -> 6
rasão -> 6
olhos -> 6
devo -> 6
espirito -> 6
fazer -> 6
conhecer -> 6
cabeça -> 6
magestade -> 6
querido -> 6
ponto -> 6
triste -> 6
apenas -> 6
tres -> 6
queria -> 6
ouvidos -> 6
querida -> 6
melhor -> 6
sangue -> 6
actor -> 6
vezes -> 5
quer -> 5
cousa -> 5
estas -> 5
fortimbraz -> 5
pelas -> 5
isso -> 5
presença -> 5
graça -> 5
dever -> 5
sala -> 5
podem -> 5
pobre -> 5
cada -> 5
taça -> 5
excepto -> 5
leito -> 5
queres -> 5
longe -> 5
necessario -> 5
propria -> 5
occasião -> 5
demonio -> 5
sejam -> 5
vista -> 5
quaes -> 5
pensamento -> 5
sabe -> 5
nobre -> 5
havia -> 5
aquelles -> 5
caro -> 5
achar -> 5
poderia -> 5
filha -> 5
demencia -> 5
modo -> 5
demasiado -> 5
resto -> 5
aqui -> 5
leve -> 5
actores -> 5
alteza -> 5
fronte -> 5
consciencia -> 5
official -> 5
meia -> 4
boas -> 4
creio -> 4
duas -> 4
hora -> 4
fórma -> 4
grande -> 4
posso -> 4
igual -> 4
força -> 4
somos -> 4
estes -> 4
terra -> 4
embora -> 4
maior -> 4
nenhum -> 4
esteja -> 4
prazer -> 4
vossos -> 4
bôca -> 4
dinamarca -> 4
vontade -> 4
essas -> 4
olhar -> 4
verdadeira -> 4
durante -> 4
coração -> 4
cadaver -> 4
affeição -> 4
forçoso -> 4
expressão -> 4
inferno -> 4
segredo -> 4
outros -> 4
escolher -> 4
salvação -> 4
perigo -> 4
receio -> 4
caminho -> 4
segue -> 4
honra -> 4
qualquer -> 4
elsenor -> 4
rumor -> 4
estar -> 4
poisque -> 4
contra -> 4
basta -> 4
almas -> 4
capaz -> 4
principe -> 4
proprias -> 4
descobrir -> 4
saber -> 4
falla -> 4
bastante -> 4
bemvindos -> 4
fóra -> 4
similhante -> 4
obra -> 4
vale -> 4
pyrrho -> 4
lucta -> 4
pranto -> 4
crime -> 4
termo -> 4
sorte -> 4
ordens -> 4
creado -> 4
agua -> 4
alexandre -> 4
ouvi -> 3
novo -> 3
defunto -> 3
comtigo -> 3
armadura -> 3
poderá -> 3
mesma -> 3
porte -> 3
deixar -> 3
influencia -> 3
tens -> 3
dizer -> 3
signal -> 3
pessoas -> 3
nenhuma -> 3
nossas -> 3
throno -> 3
desejos -> 3
parecer -> 3
peito -> 3
desde -> 3
fica -> 3
tivesse -> 3
possivel -> 3
teria -> 3
mulher -> 3
quasi -> 3
encontrar -> 3
senhores -> 3
canto -> 3
contar -> 3
respeito -> 3
novas -> 3
escolha -> 3
virgem -> 3
belleza -> 3
flores -> 3
jamais -> 3
innocente -> 3
chamma -> 3
defeito -> 3
natureza -> 3
anjos -> 3
caracter -> 3
logar -> 3
completamente -> 3
cabello -> 3
completa -> 3
paixão -> 3
digno -> 3
veneno -> 3
peso -> 3
ambos -> 3
estás -> 3
actos -> 3
deves -> 3
mensageiro -> 3
cartas -> 3
fundo -> 3
confiar -> 3
contrario -> 3
digo -> 3
idade -> 3
reis -> 3
combater -> 3
tropas -> 3
vendo -> 3
perdi -> 3
podia -> 3
fortuna -> 3
peior -> 3
devemos -> 3
bobo -> 3
primeira -> 3
seguir -> 3
aposto -> 3
estylo -> 3
chão -> 3
muda -> 3
veja -> 3
acaso -> 3
espectadores -> 3
pasto -> 3
infeliz -> 3
tantas -> 3
supportar -> 3
torna -> 3
ponta -> 3
taes -> 3
pensar -> 3
prevenir -> 3
differentes -> 3
