Execution time for counter with log base 2: 0.009 seconds.

Number of words counted: 4222

Final word counting:

então -> 9
mais -> 9
horacio -> 8
minha -> 8
para -> 8
como -> 8
porque -> 8
hamlet -> 8
quanto -> 8
rainha -> 8
polonio -> 8
elle -> 7
está -> 7
esta -> 7
nada -> 7
alguma -> 7
pelo -> 7
quando -> 7
seus -> 7
pela -> 7
laerte -> 7
tempo -> 7
sobre -> 7
rosencrantz -> 7
osrico -> 7
primeiro -> 6
scena -> 6
bernardo -> 6
mesmo -> 6
ainda -> 6
sombra -> 6
parece -> 6
essa -> 6
aquelle -> 6
nunca -> 6
assim -> 6
pois -> 6
todos -> 6
este -> 6
esse -> 6
virtude -> 6
antes -> 6
suas -> 6
toda -> 6
entre -> 6
nossa -> 6
onde -> 6
seja -> 6
vossa -> 6
tudo -> 6
todas -> 6
palavras -> 6
coração -> 6
homem -> 6
hoje -> 6
cada -> 6
amor -> 6
sempre -> 6
quarto -> 6
ophelia -> 6
seria -> 6
sangue -> 6
guildenstern -> 6
alteza -> 6
quem -> 5
tambem -> 5
estão -> 5
marcello -> 5
duas -> 5
vezes -> 5
verdade -> 5
qual -> 5
todo -> 5
fallar -> 5
noite -> 5
deus -> 5
causa -> 5
nosso -> 5
estado -> 5
grande -> 5
nossos -> 5
comtudo -> 5
joven -> 5
menos -> 5
olhos -> 5
morte -> 5
acção -> 5
depois -> 5
senão -> 5
dizer -> 5
tanto -> 5
graça -> 5
dever -> 5
sala -> 5
entram -> 5
dinamarca -> 5
aindaque -> 5
póde -> 5
teus -> 5
mundo -> 5
deve -> 5
ponto -> 5
quero -> 5
excepto -> 5
senhor -> 5
será -> 5
ella -> 5
forçoso -> 5
quasi -> 5
senhores -> 5
minhas -> 5
mãos -> 5
expressão -> 5
muito -> 5
novas -> 5
receio -> 5
entra -> 5
disse -> 5
elsenor -> 5
basta -> 5
sejam -> 5
tuas -> 5
tenho -> 5
fosse -> 5
ninguem -> 5
têem -> 5
outro -> 5
poderia -> 5
similhante -> 5
demasiado -> 5
actores -> 5
pyrrho -> 5
crime -> 5
coveiro -> 5
castello -> 4
houve -> 4
emquanto -> 4
boas -> 4
chegam -> 4
creio -> 4
agora -> 4
corpo -> 4
possa -> 4
vamos -> 4
pouco -> 4
hora -> 4
parte -> 4
momento -> 4
debaixo -> 4
cousa -> 4
meus -> 4
tinha -> 4
proprio -> 4
posso -> 4
ultimo -> 4
cuja -> 4
segundo -> 4
fortimbraz -> 4
pelas -> 4
rasão -> 4
somos -> 4
isto -> 4
intelligencia -> 4
lhes -> 4
estes -> 4
terra -> 4
embora -> 4
cujo -> 4
vida -> 4
maior -> 4
devo -> 4
golpes -> 4
pessoas -> 4
espirito -> 4
nenhuma -> 4
cornelio -> 4
prazer -> 4
corôa -> 4
motivo -> 4
fazer -> 4
cabeça -> 4
magestade -> 4
querido -> 4
olhar -> 4
podem -> 4
sinto -> 4
memoria -> 4
certo -> 4
alma -> 4
pobre -> 4
desde -> 4
cadaver -> 4
affeição -> 4
fica -> 4
acto -> 4
taça -> 4
possivel -> 4
dois -> 4
tanta -> 4
apenas -> 4
teria -> 4
queres -> 4
estou -> 4
tres -> 4
elles -> 4
algum -> 4
talvez -> 4
duvida -> 4
inferno -> 4
segredo -> 4
propria -> 4
outros -> 4
flores -> 4
perigo -> 4
melhor -> 4
caminho -> 4
devéras -> 4
chamma -> 4
qualquer -> 4
outras -> 4
contra -> 4
esses -> 4
almas -> 4
vista -> 4
palavra -> 4
quaes -> 4
pensamento -> 4
pelos -> 4
principe -> 4
jurem -> 4
rinaldo -> 4
filho -> 4
descobrir -> 4
achar -> 4
combater -> 4
filha -> 4
demencia -> 4
modo -> 4
aqui -> 4
leve -> 4
vento -> 4
actor -> 4
peça -> 4
fronte -> 4
infeliz -> 4
tantas -> 4
ponta -> 4
official -> 4
povo -> 4
explanada -> 3
francisco -> 3
viva -> 3
meia -> 3
effeito -> 3
temos -> 3
apparece -> 3
defunto -> 3
quer -> 3
fórma -> 3
nome -> 3
testemunho -> 3
comtigo -> 3
armadura -> 3
opinião -> 3
estas -> 3
dias -> 3
poderá -> 3
mesma -> 3
caso -> 3
igual -> 3
força -> 3
passar -> 3
diante -> 3
guarda -> 3
tens -> 3
pódes -> 3
desgraça -> 3
isso -> 3
presença -> 3
signal -> 3
voltar -> 3
nenhum -> 3
irmão -> 3
conhece -> 3
nossas -> 3
monarcha -> 3
junto -> 3
voltimando -> 3
conhecer -> 3
bôca -> 3
licença -> 3
vosso -> 3
vontade -> 3
haver -> 3
procurar -> 3
sabes -> 3
peito -> 3
facil -> 3
verdadeira -> 3
durante -> 3
triste -> 3
estava -> 3
farei -> 3
raios -> 3
tivesse -> 3
morto -> 3
parecia -> 3
lagrimas -> 3
longe -> 3
ultima -> 3
meio -> 3
tinham -> 3
necessario -> 3
contar -> 3
respeito -> 3
horas -> 3
casa -> 3
escolher -> 3
salvação -> 3
assisadamente -> 3
querida -> 3
virgem -> 3
belleza -> 3
verme -> 3
flor -> 3
occasião -> 3
segunda -> 3
espera -> 3
pedir -> 3
verdadeiro -> 3
laços -> 3
rumor -> 3
estar -> 3
poisque -> 3
vicio -> 3
costume -> 3
sêllo -> 3
anjos -> 3
demonio -> 3
caracter -> 3
logar -> 3
faça -> 3
outra -> 3
completamente -> 3
preciso -> 3
sabe -> 3
nobre -> 3
poder -> 3
digno -> 3
havia -> 3
ouvido -> 3
veneno -> 3
peso -> 3
capaz -> 3
ambos -> 3
procura -> 3
livre -> 3
actos -> 3
deves -> 3
caro -> 3
saber -> 3
falla -> 3
mensageiro -> 3
feito -> 3
fundo -> 3
idade -> 3
vossas -> 3
reis -> 3
tropas -> 3
tenha -> 3
vendo -> 3
fóra -> 3
tarde -> 3
quatro -> 3
unica -> 3
podesse -> 3
imbecil -> 3
fortuna -> 3
prisão -> 3
disposto -> 3
resto -> 3
devemos -> 3
especie -> 3
obra -> 3
homens -> 3
vale -> 3
bobo -> 3
seguir -> 3
sendo -> 3
cavallo -> 3
lucta -> 3
chão -> 3
pranto -> 3
favor -> 3
assassino -> 3
laço -> 3
consciencia -> 3
torna -> 3
vejo -> 3
taes -> 3
pensar -> 3
espelho -> 3
prompto -> 3
justo -> 3
sorte -> 3
logo -> 3
ordens -> 3
pretende -> 3
tocar -> 3
instrumento -> 3
inglaterra -> 3
irmã -> 3
creado -> 3
sagrado -> 3
alexandre -> 3
aposta -> 3
faze -> 2
acaba -> 2
teres -> 2
ouvi -> 2
façam -> 2
amigos -> 2
subditos -> 2
bemvindo -> 2
amigo -> 2
apparição -> 2
acreditar -> 2
novo -> 2
noites -> 2
observa -> 2
terror -> 2
haverá -> 2
posto -> 2
observação -> 2
caminhar -> 2
diga -> 2
canhões -> 2
actividade -> 2
campo -> 2
levado -> 2
matou -> 2
porção -> 2
territorio -> 2
direito -> 2
ardente -> 2
promptos -> 2
perdeu -> 2
fraca -> 2
preparativos -> 2
porte -> 2
deixar -> 2
após -> 2
signaes -> 2
astro -> 2
influencia -> 2
grandes -> 2
fizeram -> 2
sabedor -> 2
entranhas -> 2
gallo -> 2
colera -> 2
culpado -> 2
manhã -> 2
prova -> 2
algumas -> 2
dizem -> 2
detrás -> 2
mudo -> 2
impõe -> 2
poderemos -> 2
nuvem -> 2
esteja -> 2
sorrisos -> 2
esposa -> 2
aquella -> 2
vossos -> 2
livremente -> 2
fazendo -> 2
idéa -> 2
presentes -> 2
fazem -> 2
carta -> 2
resultado -> 2
dedicação -> 2
obediencia -> 2
podes -> 2
poderias -> 2
throno -> 2
desejos -> 2
grado -> 2
essas -> 2
lança -> 2
parecer -> 2
vestes -> 2
revelar -> 2
afflicção -> 2
mostrar -> 2
rebelde -> 2
sabemos -> 2
offensa -> 2
queremos -> 2
intenção -> 2
provar -> 2
emfim -> 2
resposta -> 2
sáem -> 2
carne -> 2
céus -> 2
deverei -> 2
passado -> 2
animal -> 2
mulher -> 2
leito -> 2
fiel -> 2
bons -> 2
nega -> 2
maneira -> 2
forte -> 2
pôde -> 2
vinho -> 2
iguarias -> 2
encontrar -> 2
visto -> 2
appareceu -> 2
viram -> 2
sitio -> 2
canto -> 2
queria -> 2
espanto -> 2
sido -> 2
barba -> 2
aconteça -> 2
serei -> 2
espero -> 2
creados -> 2
navio -> 2
toma -> 2
posição -> 2
escolha -> 2
nação -> 2
mancha -> 2
ouvidos -> 2
juventude -> 2
devia -> 2
benção -> 2
execução -> 2
evitar -> 2
escuta -> 2
gosto -> 2
passo -> 2
segue -> 2
jamais -> 2
tido -> 2
frequentes -> 2
convem -> 2
honra -> 2
porventura -> 2
juramentos -> 2
arma -> 2
innocente -> 2
tomar -> 2
santa -> 2
clarins -> 2
apesar -> 2
defeito -> 2
natureza -> 2
estigma -> 2
fossem -> 2
ellas -> 2
genio -> 2
tumulo -> 2
pretendes -> 2
cabello -> 2
completa -> 2
infame -> 2
paixão -> 2
cujas -> 2
qualidades -> 2
anjo -> 2
celeste -> 2
perante -> 2
entrega -> 2
remorso -> 2
fogo -> 2
calor -> 2
começa -> 2
energia -> 2
cerebro -> 2
scelerado -> 2
digam -> 2
estás -> 2
informações -> 2
conheces -> 2
aquelles -> 2
conta -> 2
proprias -> 2
sente -> 2
bella -> 2
repente -> 2
rosto -> 2
precisa -> 2
delirio -> 2
humana -> 2
cartas -> 2
confiar -> 2
contrario -> 2
digo -> 2
bastante -> 2
estamos -> 2
alguns -> 2
loucura -> 2
bemvindos -> 2
sobrinho -> 2
eram -> 2
passagem -> 2
forçosamente -> 2
confissão -> 2
silencio -> 2
perdi -> 2
seguida -> 2
teve -> 2
simples -> 2
poderás -> 2
ignora -> 2
deixe -> 2
leitura -> 2
gravemente -> 2
contém -> 2
devem -> 2
louco -> 2
podia -> 2
rasões -> 2
peior -> 2
unicamente -> 2
mandaram -> 2
excellente -> 2
direitos -> 2
cavalleiro -> 2
cumpre -> 2
terão -> 2
primeira -> 2
profissão -> 2
circumstancias -> 2
terem -> 2
aposto -> 2
effectivamente -> 2
nova -> 2
estylo -> 2
encantadora -> 2
chama -> 2
trecho -> 2
assumpto -> 2
escripta -> 2
sobretudo -> 2
frente -> 2
muita -> 2
ouvir -> 2
muda -> 2
completar -> 2
menor -> 2
espada -> 2
deuses -> 2
veja -> 2
acaso -> 2
faria -> 2
representar -> 2
doze -> 2
peço -> 2
tantos -> 2
espectadores -> 2
pasto -> 2
objecto -> 2
acha -> 2
armado -> 2
terceiro -> 2
chamar -> 2
esperança -> 2
asqueroso -> 2
atrás -> 2
supportar -> 2
somno -> 2
termo -> 2
dores -> 2
terrivel -> 2
resolução -> 2
transforma -> 2
perderam -> 2
mostra -> 2
restos -> 2
continuar -> 2
dado -> 2
imaginação -> 2
fria -> 2
pura -> 2
creaturas -> 2
prevenir -> 2
demora -> 2
objectos -> 2
podér -> 2
differentes -> 2
juizo -> 2
terá -> 2
cujos -> 2
juro -> 2
viver -> 2
permittido -> 2
seis -> 2
vivo -> 2
chega -> 2
significa -> 2
guardar -> 2
trinta -> 2
perfidia -> 2
negra -> 2
olvidando -> 2
letra -> 2
braços -> 2
venham -> 2
golpe -> 2
chapéu -> 2
venha -> 2
responder -> 2
desculpa -> 2
lingua -> 2
obrigado -> 2
morre -> 2
cume -> 2
perdão -> 2
branca -> 2
obter -> 2
podemos -> 2
habito -> 2
faces -> 2
saberá -> 2
marido -> 2
vergonha -> 2
existe -> 2
perfeito -> 2
pareça -> 2
viagem -> 2
vinte -> 2
breve -> 2
sentido -> 2
foste -> 2
pensando -> 2
gota -> 2
comtanto -> 2
pertence -> 2
funeral -> 2
pessoa -> 2
francezes -> 2
elogios -> 2
pericia -> 2
agua -> 2
voluntariamente -> 2
constructor -> 2
trabalho -> 2
craneo -> 2
dentro -> 2
nove -> 2
padre -> 2
providencia -> 2
despacho -> 2
apostou -> 2
floretes -> 2
acceito -> 2
frio -> 1
sequer -> 1
santas -> 1
valente -> 1
phantasma -> 1
consecutivas -> 1
deixemos -> 1
estrella -> 1
vêem -> 1
giro -> 1
similhança -> 1
esperar -> 1
caminhando -> 1
lenta -> 1
dizes -> 1
proprios -> 1
pareces -> 1
usava -> 1
combateu -> 1
ambicioso -> 1
guerreiro -> 1
guardas -> 1
combate -> 1
noruega -> 1
exercito -> 1
resolvidos -> 1
armada -> 1
nota -> 1
julgo -> 1
estrellas -> 1
imperio -> 1
apparecer -> 1
continuando -> 1
articular -> 1
cumprimento -> 1
aviso -> 1
esforço -> 1
cantou -> 1
clarim -> 1
espiritos -> 1
ousa -> 1
saír -> 1
acolá -> 1
vestida -> 1
amado -> 1
alegria -> 1
canticos -> 1
seguramente -> 1
fallemos -> 1
projectos -> 1
ponha -> 1
apresentar -> 1
idoso -> 1
celeridade -> 1
recebam -> 1
dinamarquez -> 1
pedido -> 1
prompta -> 1
servir -> 1
dedicado -> 1
augusto -> 1
gostosamente -> 1
assistir -> 1
cumprido -> 1
chamam -> 1
conceda -> 1
partir -> 1
liberdade -> 1
brilha -> 1
roupas -> 1
descrava -> 1
destino -> 1
vive -> 1
capa -> 1
suspiros -> 1
commovente -> 1
deveres -> 1
perdêra -> 1
piedade -> 1
provas -> 1
impressionar -> 1
repete -> 1
abandona -> 1
fiques -> 1
naturalmente -> 1
jubilo -> 1
mezes -> 1
querer -> 1
acompanhando -> 1
voar -> 1
folgo -> 1
servo -> 1
