Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 3180

Final word counting:

that -> 175
with -> 140
this -> 136
your -> 119
have -> 91
what -> 84
will -> 78
shall -> 52
good -> 51
thou -> 46
they -> 46
like -> 41
most -> 40
must -> 37
enter -> 36
would -> 35
more -> 34
very -> 34
such -> 33
make -> 30
give -> 30
hath -> 30
from -> 30
which -> 30
know -> 30
come -> 28
their -> 28
some -> 27
where -> 26
should -> 26
much -> 25
king -> 24
then -> 23
than -> 23
time -> 22
tell -> 22
them -> 21
take -> 21
upon -> 19
think -> 19
might -> 19
thee -> 18
when -> 18
whose -> 18
well -> 18
here -> 18
look -> 17
there -> 16
against -> 16
thus -> 16
doth -> 16
these -> 16
love -> 16
into -> 16
does -> 15
world -> 15
pray -> 15
both -> 15
speak -> 14
though -> 14
dear -> 14
great -> 14
could -> 14
hear -> 13
made -> 13
been -> 13
nothing -> 13
queen -> 13
long -> 12
hold -> 12
even -> 12
father -> 12
itself -> 12
were -> 12
never -> 12
hamlet -> 11
young -> 11
hast -> 11
exeunt -> 11
cannot -> 11
call -> 11
distributed -> 11
play -> 11
scene -> 10
without -> 10
mine -> 10
about -> 10
find -> 10
many -> 10
before -> 9
part -> 9
heaven -> 9
comes -> 9
fair -> 9
believe -> 9
dead -> 9
still -> 9
show -> 9
death -> 9
leave -> 9
thoughts -> 9
sweet -> 9
till -> 9
poor -> 9
each -> 9
service -> 9
soul -> 9
keep -> 9
copies -> 9
seen -> 8
form -> 8
noble -> 8
lord -> 8
given -> 8
makes -> 8
cause -> 8
madness -> 8
stand -> 7
last -> 7
night -> 7
mark -> 7
question -> 7
true -> 7
hand -> 7
little -> 7
being -> 7
nature -> 7
doubt -> 7
duty -> 7
within -> 7
while -> 7
himself -> 7
follow -> 7
sent -> 7
kind -> 7
fear -> 6
together -> 6
something -> 6
particular -> 6
haste -> 6
head -> 6
earth -> 6
stay -> 6
walk -> 6
further -> 6
indeed -> 6
seem -> 6
things -> 6
away -> 6
youth -> 6
between -> 6
another -> 6
myself -> 6
electronic -> 6
works -> 6
provided -> 6
university -> 6
rosencrantz -> 6
matter -> 6
dost -> 6
players -> 6
down -> 5
thing -> 5
therefore -> 5
eyes -> 5
once -> 5
denmark -> 5
exit -> 5
those -> 5
room -> 5
bear -> 5
better -> 5
ever -> 5
seek -> 5
mind -> 5
first -> 5
body -> 5
word -> 5
else -> 5
wisdom -> 5
place -> 5
lies -> 5
wind -> 5
means -> 5
remember -> 5
said -> 5
free -> 5
tongue -> 5
words -> 5
since -> 5
bring -> 5
draw -> 5
done -> 5
murther -> 5
grave -> 5
copyright -> 5
project -> 5
mellon -> 5
receive -> 5
thousand -> 5
gave -> 5
noise -> 5
sense -> 5
answer -> 4
live -> 4
friends -> 4
honest -> 4
same -> 4
looks -> 4
buried -> 4
goes -> 4
known -> 4
through -> 4
life -> 4
spirit -> 4
impart -> 4
whole -> 4
lost -> 4
business -> 4
uncle -> 4
news -> 4
reason -> 4
lose -> 4
dread -> 4
best -> 4
thine -> 4
heart -> 4
back -> 4
mother -> 4
excellent -> 4
grown -> 4
fellow -> 4
point -> 4
perchance -> 4
blessing -> 4
every -> 4
yourself -> 4
please -> 4
fashion -> 4
near -> 4
action -> 4
wilt -> 4
hearing -> 4
days -> 4
didst -> 4
went -> 4
holds -> 4
sure -> 4
needs -> 4
times -> 4
aught -> 4
william -> 4
shakespeare -> 4
machine -> 4
distribution -> 4
took -> 4
passion -> 4
ourselves -> 4
hide -> 4
brought -> 4
rest -> 4
whom -> 4
sends -> 4
three -> 4
thank -> 4
round -> 4
herself -> 4
behind -> 4
speaks -> 4
after -> 4
drown -> 4
bloody -> 4
devil -> 4
feed -> 4
shame -> 4
husband -> 4
wager -> 4
quiet -> 3
meet -> 3
horatio -> 3
piece -> 3
again -> 3
says -> 3
watch -> 3
course -> 3
majesty -> 3
cannon -> 3
fortinbras -> 3
fell -> 3
unto -> 3
terms -> 3
other -> 3
sort -> 3
state -> 3
ghost -> 3
heard -> 3
whether -> 3
present -> 3
wherein -> 3
power -> 3
memory -> 3
writ -> 3
hears -> 3
full -> 3
personal -> 3
told -> 3
native -> 3
came -> 3
bend -> 3
toward -> 3
alone -> 3
shows -> 3
note -> 3
gentle -> 3
grows -> 3
rank -> 3
discourse -> 3
wicked -> 3
change -> 3
goodly -> 3
kept -> 3
knew -> 3
sound -> 3
pale -> 3
beard -> 3
assume -> 3
hell -> 3
foul -> 3
inward -> 3
wide -> 3
voice -> 3
honour -> 3
chaste -> 3
maid -> 3
occasion -> 3
second -> 3
entertainment -> 3
