Execution time for counter with probability 1/2: 0.01 seconds.

Number of words counted: 4839

Final word counting:

vous -> 197
dans -> 181
pour -> 166
nous -> 124
votre -> 111
plus -> 105
mais -> 95
comme -> 93
avec -> 89
cette -> 78
tout -> 78
fait -> 60
sont -> 53
bien -> 48
même -> 48
aussi -> 45
cela -> 44
notre -> 42
sans -> 42
elle -> 41
quelque -> 40
leur -> 38
ainsi -> 37
dont -> 36
quand -> 36
hamlet -> 32
encore -> 31
point -> 31
premier -> 30
temps -> 29
était -> 29
faire -> 28
être -> 28
tous -> 27
soit -> 27
trop -> 27
deux -> 25
toute -> 25
toutes -> 24
avait -> 24
dire -> 24
donc -> 24
contre -> 23
mort -> 23
leurs -> 23
rien -> 21
autre -> 21
suis -> 21
homme -> 21
sous -> 19
entre -> 19
faut -> 18
reine -> 18
jamais -> 17
comment -> 17
êtes -> 16
quel -> 16
avant -> 16
paroles -> 16
sens -> 16
shakspeare -> 16
scène -> 15
chaque -> 15
fois -> 15
maintenant -> 15
jeune -> 15
veux -> 15
tant -> 15
quelle -> 15
vers -> 15
corps -> 15
avoir -> 15
beaucoup -> 15
telle -> 15
avons -> 14
pourquoi -> 14
alors -> 14
peut -> 14
tête -> 14
monde -> 13
donner -> 13
avez -> 13
propre -> 13
guildenstern -> 13
moins -> 12
sera -> 12
bonne -> 11
chose -> 11
serait -> 11
père -> 11
depuis -> 11
mieux -> 11
donne -> 11
vrai -> 11
quoi -> 11
vient -> 10
veut -> 10
quant -> 10
parler -> 10
noble -> 10
jour -> 10
voilà -> 10
voir -> 10
danemark -> 10
sois -> 10
selon -> 10
doit -> 10
langage -> 10
nature -> 10
toujours -> 10
double -> 10
fille -> 10
ceci -> 9
sais -> 9
celui -> 9
main -> 9
grand -> 9
mettre -> 9
aucun -> 9
seulement -> 9
raison -> 9
trois -> 9
ophélia -> 9
jeunesse -> 9
hors -> 9
langue -> 9
puis -> 9
mille -> 8
coeur -> 8
puisse -> 8
pendant -> 8
ciel -> 8
près -> 8
presque -> 8
terre -> 8
parmi -> 8
part -> 8
aurait -> 8
assez -> 8
peine -> 8
vieux -> 8
rendre -> 8
porte -> 8
envers -> 8
texte -> 8
yeux -> 8
mains -> 8
déjà -> 8
second -> 8
lieu -> 8
donné -> 8
tiens -> 8
folie -> 8
action -> 8
mots -> 8
afin -> 7
voici -> 7
celle -> 7
forme -> 7
vont -> 7
grande -> 7
autres -> 7
moment -> 7
soient -> 7
seul -> 7
combien -> 7
dois -> 7
voudrais -> 7
sang -> 7
gens -> 7
rôle -> 7
droit -> 7
faites -> 7
prendre -> 7
parce -> 7
après -> 7
siècle -> 7
puissent -> 7
fils -> 7
reste -> 7
ceux -> 7
pièce -> 7
devant -> 6
pense -> 6
pris -> 6
dernier -> 6
train -> 6
semblable -> 6
force -> 6
dieu -> 6
frère -> 6
pleine -> 6
porter -> 6
congé -> 6
aller -> 6
mère -> 6
meurtre -> 6
pauvre -> 6
passe -> 6
quelques -> 6
convient -> 6
vais -> 6
cher -> 6
elles -> 6
quels -> 6
aura -> 6
étaient -> 6
travers -> 6
femme -> 6
bons -> 6
suite -> 6
plaît -> 6
sait -> 6
vérité -> 6
anglais -> 6
quelles -> 6
autant -> 6
sommes -> 6
comédiens -> 6
jeunes -> 6
belle -> 6
parle -> 6
manque -> 6
garde -> 5
horatio -> 5
marcellus -> 5
fasse -> 5
acte -> 5
cause -> 5
durant -> 5
nulle -> 5
pouvoir -> 5
crois -> 5
vouloir -> 5
fort -> 5
souvenir -> 5
pouvez -> 5
plutôt -> 5
tendre -> 5
polonius -> 5
laërtes -> 5
pouvait -> 5
vois -> 5
mauvais -> 5
sujet -> 5
beauté -> 5
souvent -> 5
suivre -> 5
mettez -> 5
grâce -> 5
laisse -> 5
signe -> 5
jeter -> 5
ferai -> 5
sorte -> 5
caractère -> 5
