Execution time for counter with probability 1/2: 0.008 seconds.

Number of words counted: 4222

Final word counting:

hamlet -> 196
para -> 109
mais -> 81
como -> 78
minha -> 68
horacio -> 60
polonio -> 57
laerte -> 43
rainha -> 43
está -> 41
rosencrantz -> 38
quem -> 34
porque -> 34
suas -> 31
ophelia -> 31
esta -> 28
quando -> 28
seus -> 28
vossa -> 28
primeiro -> 27
assim -> 27
todos -> 26
este -> 26
então -> 24
nada -> 24
pelo -> 24
coveiro -> 24
marcello -> 23
ainda -> 22
depois -> 22
quanto -> 22
seja -> 21
elle -> 20
esse -> 20
sobre -> 20
sempre -> 20
pois -> 19
tudo -> 19
será -> 19
guildenstern -> 19
tambem -> 18
nosso -> 18
pela -> 18
entra -> 18
agora -> 17
toda -> 17
nossa -> 17
qual -> 16
onde -> 16
nunca -> 15
tempo -> 15
osrico -> 15
mesmo -> 14
parte -> 14
alguma -> 14
tinha -> 14
antes -> 14
todas -> 14
sombra -> 13
meus -> 13
segundo -> 13
tenho -> 13
estão -> 12
essa -> 12
causa -> 12
estes -> 12
vida -> 12
entre -> 12
póde -> 12
quero -> 12
minhas -> 12
scena -> 11
vezes -> 11
pouco -> 11
todo -> 11
comtudo -> 11
morte -> 11
teus -> 11
alma -> 11
senhor -> 11
amor -> 11
deus -> 10
grande -> 10
nossos -> 10
posso -> 10
cujo -> 10
senão -> 10
coração -> 10
deve -> 10
homem -> 10
aqui -> 10
actores -> 10
aquelle -> 9
estas -> 9
força -> 9
rasão -> 9
dizer -> 9
tanto -> 9
entram -> 9
cada -> 9
dois -> 9
apenas -> 9
ella -> 9
tres -> 9
talvez -> 9
contra -> 9
sejam -> 9
peça -> 9
castello -> 8
bernardo -> 8
emquanto -> 8
verdade -> 8
vamos -> 8
parece -> 8
menos -> 8
olhos -> 8
sala -> 8
mundo -> 8
sinto -> 8
cadaver -> 8
sangue -> 8
tuas -> 8
outro -> 8
similhante -> 8
creio -> 7
corpo -> 7
fallar -> 7
cuja -> 7
fortimbraz -> 7
lhes -> 7
terra -> 7
motivo -> 7
querido -> 7
podem -> 7
palavras -> 7
ponto -> 7
acto -> 7
mãos -> 7
algum -> 7
quarto -> 7
seria -> 7
nobre -> 7
principe -> 7
boas -> 6
chegam -> 6
duas -> 6
possa -> 6
quer -> 6
cousa -> 6
proprio -> 6
virtude -> 6
isto -> 6
devo -> 6
dever -> 6
nossas -> 6
fazer -> 6
olhar -> 6
hoje -> 6
longe -> 6
elles -> 6
muito -> 6
queria -> 6
propria -> 6
outros -> 6
esses -> 6
fosse -> 6
quaes -> 6
sabe -> 6
filho -> 6
actos -> 6
saber -> 6
fronte -> 6
crime -> 6
francisco -> 5
meia -> 5
noite -> 5
estado -> 5
maior -> 5
prazer -> 5
conhecer -> 5
cabeça -> 5
dinamarca -> 5
certo -> 5
tivesse -> 5
possivel -> 5
mulher -> 5
estou -> 5
senhores -> 5
belleza -> 5
flores -> 5
elsenor -> 5
poisque -> 5
vista -> 5
peso -> 5
têem -> 5
rinaldo -> 5
mensageiro -> 5
poderia -> 5
fóra -> 5
demasiado -> 5
homens -> 5
tantas -> 5
official -> 5
ouvi -> 4
fórma -> 4
dias -> 4
mesma -> 4
joven -> 4
deixar -> 4
acção -> 4
presença -> 4
golpes -> 4
pessoas -> 4
dizem -> 4
corôa -> 4
resultado -> 4
licença -> 4
vosso -> 4
vontade -> 4
magestade -> 4
essas -> 4
sabes -> 4
verdadeira -> 4
triste -> 4
desde -> 4
fica -> 4
lagrimas -> 4
teria -> 4
leito -> 4
pôde -> 4
visto -> 4
tinham -> 4
necessario -> 4
contar -> 4
duvida -> 4
respeito -> 4
querida -> 4
perigo -> 4
receio -> 4
caminho -> 4
jamais -> 4
rumor -> 4
outras -> 4
logar -> 4
faça -> 4
outra -> 4
preciso -> 4
veneno -> 4
capaz -> 4
procura -> 4
livre -> 4
caro -> 4
feito -> 4
achar -> 4
digo -> 4
modo -> 4
devemos -> 4
vale -> 4
alteza -> 4
seguir -> 4
actor -> 4
pyrrho -> 4
lucta -> 4
infeliz -> 4
taes -> 4
seis -> 4
justo -> 4
logo -> 4
tocar -> 4
creado -> 4
agua -> 4
noites -> 3
momento -> 3
defunto -> 3
debaixo -> 3
nome -> 3
opinião -> 3
diga -> 3
canhões -> 3
ultimo -> 3
pelas -> 3
igual -> 3
direito -> 3
ardente -> 3
fraca -> 3
preparativos -> 3
somos -> 3
passar -> 3
diante -> 3
intelligencia -> 3
após -> 3
grandes -> 3
colera -> 3
voltar -> 3
nenhum -> 3
espirito -> 3
nenhuma -> 3
detrás -> 3
cornelio -> 3
esteja -> 3
sorrisos -> 3
irmão -> 3
fazem -> 3
dedicação -> 3
voltimando -> 3
podes -> 3
grado -> 3
aindaque -> 3
procurar -> 3
parecer -> 3
revelar -> 3
facil -> 3
memoria -> 3
pobre -> 3
sabemos -> 3
raios -> 3
morto -> 3
forçoso -> 3
queres -> 3
encontrar -> 3
expressão -> 3
inferno -> 3
segredo -> 3
horas -> 3
novas -> 3
salvação -> 3
mancha -> 3
melhor -> 3
evitar -> 3
segue -> 3
disse -> 3
frequentes -> 3
devéras -> 3
tomar -> 3
natureza -> 3
basta -> 3
demonio -> 3
caracter -> 3
ninguem -> 3
completamente -> 3
cabello -> 3
pensamento -> 3
calor -> 3
começa -> 3
scelerado -> 3
ambos -> 3
conta -> 3
deves -> 3
bella -> 3
falla -> 3
repente -> 3
cartas -> 3
estamos -> 3
alguns -> 3
passagem -> 3
vendo -> 3
tarde -> 3
teve -> 3
poderás -> 3
leitura -> 3
unica -> 3
fortuna -> 3
prisão -> 3
disposto -> 3
leve -> 3
obra -> 3
cumpre -> 3
estylo -> 3
espada -> 3
espectadores -> 3
assassino -> 3
acha -> 3
terrivel -> 3
torna -> 3
pura -> 3
prevenir -> 3
juizo -> 3
cujos -> 3
prompto -> 3
ordens -> 3
pretende -> 3
inglaterra -> 3
morre -> 3
vergonha -> 3
breve -> 3
funeral -> 3
voluntariamente -> 3
trabalho -> 3
aposta -> 3
apostou -> 3
explanada -> 2
acaba -> 2
frio -> 2
houve -> 2
façam -> 2
