
Number of words counted: 4222

Final word counting:

hamlet -> 406
para -> 236
mais -> 175
como -> 164
minha -> 139
horacio -> 121
rainha -> 101
polonio -> 100
está -> 79
laerte -> 73
porque -> 68
rosencrantz -> 66
quem -> 63
esta -> 62
ophelia -> 62
seus -> 60
quando -> 58
este -> 57
suas -> 56
primeiro -> 52
nada -> 52
todos -> 51
tudo -> 49
quanto -> 48
coveiro -> 48
vossa -> 46
assim -> 45
então -> 44
ainda -> 44
elle -> 43
pois -> 43
pelo -> 42
pela -> 40
sobre -> 39
marcello -> 38
alguma -> 38
esse -> 38
agora -> 37
guildenstern -> 37
depois -> 36
meus -> 34
nossa -> 34
seja -> 34
póde -> 33
sombra -> 32
nosso -> 32
toda -> 32
onde -> 32
será -> 31
sempre -> 31
qual -> 30
homem -> 30
tambem -> 29
antes -> 28
todas -> 28
mesmo -> 27
nunca -> 27
segundo -> 27
morte -> 27
tempo -> 27
osrico -> 27
essa -> 26
entra -> 26
entram -> 25
amor -> 25
bernardo -> 24
entre -> 24
muito -> 24
scena -> 23
causa -> 23
vida -> 23
estão -> 21
verdade -> 21
tinha -> 21
nossos -> 21
minhas -> 21
seria -> 21
parte -> 20
quero -> 20
tenho -> 20
todo -> 19
parece -> 19
lhes -> 19
teus -> 19
deve -> 19
outro -> 19
vezes -> 18
pouco -> 18
estes -> 18
tanto -> 18
certo -> 18
coração -> 18
senhor -> 18
dois -> 18
ella -> 18
algum -> 18
emquanto -> 17
noite -> 17
deus -> 17
aquelle -> 17
senão -> 17
palavras -> 17
alma -> 17
hoje -> 17
contra -> 17
virtude -> 16
comtudo -> 16
cujo -> 16
talvez -> 16
sejam -> 16
actores -> 16
castello -> 15
grande -> 15
menos -> 15
terra -> 15
dizer -> 15
mundo -> 15
estou -> 15
peça -> 15
proprio -> 14
olhos -> 14
acção -> 14
acto -> 14
cada -> 14
tres -> 14
quarto -> 14
esses -> 14
tuas -> 14
fosse -> 14
principe -> 14
rinaldo -> 14
aqui -> 14
alteza -> 14
duas -> 13
vamos -> 13
quer -> 13
debaixo -> 13
cousa -> 13
posso -> 13
fortimbraz -> 13
joven -> 13
maior -> 13
nossas -> 13
dinamarca -> 13
sangue -> 13
corpo -> 12
possa -> 12
fallar -> 12
cuja -> 12
rasão -> 12
motivo -> 12
ponto -> 12
teria -> 12
queres -> 12
estas -> 11
cabeça -> 11
sinto -> 11
apenas -> 11
têem -> 11
filho -> 11
modo -> 11
actor -> 11
fronte -> 11
viva -> 10
chegam -> 10
creio -> 10
fórma -> 10
pelas -> 10
caso -> 10
embora -> 10
pessoas -> 10
corôa -> 10
vontade -> 10
magestade -> 10
querido -> 10
triste -> 10
cadaver -> 10
mãos -> 10
queria -> 10
propria -> 10
melhor -> 10
receio -> 10
vista -> 10
pensamento -> 10
nobre -> 10
pelos -> 10
crime -> 10
official -> 10
francisco -> 9
estado -> 9
força -> 9
devo -> 9
dever -> 9
sala -> 9
fazer -> 9
affeição -> 9
tivesse -> 9
forçoso -> 9
elles -> 9
poisque -> 9
outra -> 9
sabe -> 9
poderia -> 9
similhante -> 9
meia -> 8
hora -> 8
mesma -> 8
somos -> 8
isto -> 8
isso -> 8
presença -> 8
espirito -> 8
prazer -> 8
olhar -> 8
podem -> 8
pobre -> 8
excepto -> 8
lagrimas -> 8
mulher -> 8
outros -> 8
ouvidos -> 8
querida -> 8
flores -> 8
disse -> 8
qualquer -> 8
elsenor -> 8
basta -> 8
quaes -> 8
actos -> 8
mensageiro -> 8
demasiado -> 8
leve -> 8
homens -> 8
pyrrho -> 8
consciencia -> 8
houve -> 7
boas -> 7
momento -> 7
nome -> 7
igual -> 7
conhecer -> 7
bôca -> 7
aindaque -> 7
estava -> 7
possivel -> 7
longe -> 7
senhores -> 7
duvida -> 7
inferno -> 7
perigo -> 7
caminho -> 7
rumor -> 7
almas -> 7
palavra -> 7
havia -> 7
capaz -> 7
saber -> 7
achar -> 7
cartas -> 7
bemvindos -> 7
filha -> 7
fóra -> 7
demencia -> 7
vale -> 7
infeliz -> 7
tantas -> 7
ordens -> 7
pretende -> 7
povo -> 7
ouvi -> 6
novo -> 6
dias -> 6
poderá -> 6
deixar -> 6
desgraça -> 6
golpes -> 6
graça -> 6
esteja -> 6
irmão -> 6
vosso -> 6
sabes -> 6
verdadeira -> 6
memoria -> 6
desde -> 6
fica -> 6
taça -> 6
morto -> 6
tanta -> 6
leito -> 6
ultima -> 6
quasi -> 6
meio -> 6
expressão -> 6
necessario -> 6
segredo -> 6
respeito -> 6
novas -> 6
salvação -> 6
belleza -> 6
occasião -> 6
devéras -> 6
chamma -> 6
estar -> 6
outras -> 6
sêllo -> 6
demonio -> 6
caracter -> 6
logar -> 6
faça -> 6
ninguem -> 6
veneno -> 6
peso -> 6
fogo -> 6
deves -> 6
caro -> 6
descobrir -> 6
falla -> 6
feito -> 6
idade -> 6
vendo -> 6
devemos -> 6
obra -> 6
lucta -> 6
ponta -> 6
seis -> 6
prompto -> 6
temos -> 5
diga -> 5
ultimo -> 5
territorio -> 5
passar -> 5
diante -> 5
intelligencia -> 5
tens -> 5
pódes -> 5
signal -> 5
nenhum -> 5
nenhuma -> 5
cornelio -> 5
vossos -> 5
conhece -> 5
monarcha -> 5
junto -> 5
resultado -> 5
desejos -> 5
essas -> 5
procurar -> 5
parecer -> 5
vestes -> 5
revelar -> 5
facil -> 5
durante -> 5
raios -> 5
parecia -> 5
bons -> 5
visto -> 5
casa -> 5
posição -> 5
verdadeiro -> 5
natureza -> 5
infame -> 5
preciso -> 5
poder -> 5
digno -> 5
ouvido -> 5
ambos -> 5
jurem -> 5
estás -> 5
procura -> 5
aquelles -> 5
livre -> 5
fundo -> 5
digo -> 5
bastante -> 5
combater -> 5
tropas -> 5
quatro -> 5
imbecil -> 5
fortuna -> 5
disposto -> 5
resto -> 5
primeira -> 5
seguir -> 5
vento -> 5
chão -> 5
ouvir -> 5
espada -> 5
veja -> 5
assassino -> 5
termo -> 5
vejo -> 5
pura -> 5
pensar -> 5
justo -> 5
logo -> 5
tocar -> 5
instrumento -> 5
inglaterra -> 5
irmã -> 5
agua -> 5
explanada -> 4
amigos -> 4
apparição -> 4
effeito -> 4
noites -> 4
apparece -> 4
defunto -> 4
testemunho -> 4
comtigo -> 4
armadura -> 4
opinião -> 4
direito -> 4
guarda -> 4
porte -> 4
após -> 4
signaes -> 4
grandes -> 4
entranhas -> 4
colera -> 4
voltar -> 4
prova -> 4
dizem -> 4
esposa -> 4
aquella -> 4
voltimando -> 4
podes -> 4
licença -> 4
haver -> 4
peito -> 4
farei -> 4
animal -> 4
maneira -> 4
pôde -> 4
encontrar -> 4
viram -> 4
tinham -> 4
espanto -> 4
contar -> 4
horas -> 4
escolher -> 4
assisadamente -> 4
virgem -> 4
verme -> 4
flor -> 4
segunda -> 4
espera -> 4
execução -> 4
evitar -> 4
gosto -> 4
pedir -> 4
segue -> 4
jamais -> 4
honra -> 4
laços -> 4
defeito -> 4
vicio -> 4
costume -> 4
anjos -> 4
completamente -> 4
cabello -> 4
completa -> 4
paixão -> 4
cujas -> 4
qualidades -> 4
digam -> 4
conta -> 4
proprias -> 4
sente -> 4
contrario -> 4
vossas -> 4
reis -> 4
estamos -> 4
alguns -> 4
sobrinho -> 4
tenha -> 4
confissão -> 4
tarde -> 4
simples -> 4
deixe -> 4
leitura -> 4
unica -> 4
podesse -> 4
rasões -> 4
prisão -> 4
especie -> 4
bobo -> 4
cumpre -> 4
sendo -> 4
encantadora -> 4
trecho -> 4
cavallo -> 4
muda -> 4
acaso -> 4
pranto -> 4
favor -> 4
laço -> 4
armado -> 4
supportar -> 4
terrivel -> 4
torna -> 4
restos -> 4
taes -> 4
creaturas -> 4
espelho -> 4
juizo -> 4
chega -> 4
negra -> 4
sorte -> 4
chapéu -> 4
podemos -> 4
saberá -> 4
creado -> 4
sagrado -> 4
dentro -> 4
alexandre -> 4
aposta -> 4
faze -> 3
acaba -> 3
teres -> 3
façam -> 3
subditos -> 3
bemvindo -> 3
amigo -> 3
acreditar -> 3
observa -> 3
terror -> 3
haverá -> 3
posto -> 3
observação -> 3
caminhar -> 3
canhões -> 3
actividade -> 3
campo -> 3
levado -> 3
matou -> 3
porção -> 3
ardente -> 3
promptos -> 3
perdeu -> 3
fraca -> 3
preparativos -> 3
astro -> 3
influencia -> 3
fizeram -> 3
sabedor -> 3
gallo -> 3
culpado -> 3
manhã -> 3
algumas -> 3
detrás -> 3
mudo -> 3
impõe -> 3
poderemos -> 3
nuvem -> 3
sorrisos -> 3
livremente -> 3
fazendo -> 3
