
Number of words counted: 3180

Final word counting:

that -> 169
this -> 131
with -> 125
your -> 114
have -> 89
what -> 89
will -> 80
shall -> 57
thou -> 56
they -> 55
good -> 53
from -> 47
more -> 45
most -> 40
would -> 39
such -> 38
like -> 36
very -> 35
make -> 31
hath -> 31
must -> 31
them -> 30
give -> 30
where -> 30
their -> 30
upon -> 29
know -> 29
should -> 29
some -> 28
enter -> 27
come -> 27
there -> 27
than -> 27
when -> 26
king -> 25
these -> 25
love -> 24
which -> 23
whose -> 23
much -> 22
take -> 22
think -> 21
time -> 21
thee -> 19
speak -> 19
then -> 19
here -> 19
hear -> 18
doth -> 17
well -> 17
made -> 16
look -> 16
might -> 16
tell -> 16
sweet -> 16
were -> 16
against -> 15
does -> 15
world -> 15
show -> 15
could -> 15
thus -> 14
cannot -> 14
till -> 14
pray -> 14
call -> 14
hold -> 13
been -> 13
dear -> 13
into -> 13
both -> 13
players -> 13
long -> 12
mine -> 12
father -> 12
little -> 12
great -> 12
soul -> 12
seen -> 11
therefore -> 11
dead -> 11
head -> 11
poor -> 11
means -> 11
many -> 11
never -> 11
distributed -> 11
nothing -> 11
thing -> 10
comes -> 10
hamlet -> 10
those -> 10
hand -> 10
though -> 10
death -> 10
leave -> 10
makes -> 10
follow -> 10
scene -> 9
eyes -> 9
part -> 9
young -> 9
find -> 9
exeunt -> 9
noble -> 9
itself -> 9
words -> 9
rosencrantz -> 9
matter -> 9
live -> 8
believe -> 8
without -> 8
even -> 8
bear -> 8
within -> 8
since -> 8
dost -> 8
play -> 8
down -> 7
mark -> 7
fair -> 7
majesty -> 7
true -> 7
almost -> 7
earth -> 7
room -> 7
laertes -> 7
full -> 7
duty -> 7
heart -> 7
first -> 7
mother -> 7
excellent -> 7
else -> 7
foul -> 7
service -> 7
remember -> 7
lord -> 7
between -> 7
etext -> 7
copies -> 7
download -> 7
queen -> 7
before -> 6
horatio -> 6
last -> 6
heaven -> 6
fear -> 6
denmark -> 6
haste -> 6
other -> 6
still -> 6
hast -> 6
about -> 6
spirit -> 6
wherein -> 6
nature -> 6
further -> 6
personal -> 6
things -> 6
body -> 6
himself -> 6
second -> 6
every -> 6
near -> 6
bring -> 6
draw -> 6
project -> 6
others -> 6
commercial -> 6
ourselves -> 6
fine -> 6
answer -> 5
same -> 5
break -> 5
something -> 5
fell -> 5
stay -> 5
life -> 5
doubt -> 5
news -> 5
came -> 5
thoughts -> 5
ever -> 5
seek -> 5
indeed -> 5
seem -> 5
knew -> 5
youth -> 5
virtue -> 5
keep -> 5
said -> 5
yourself -> 5
daughter -> 5
wholesome -> 5
version -> 5
shakespeare -> 5
carnegie -> 5
used -> 5
includes -> 5
rest -> 5
guildenstern -> 5
thank -> 5
poison -> 5
shame -> 5
husband -> 5
once -> 4
night -> 4
star -> 4
question -> 4
together -> 4
particular -> 4
work -> 4
cast -> 4
goes -> 4
ghost -> 4
better -> 4
business -> 4
reason -> 4
wouldst -> 4
beseech -> 4
less -> 4
grown -> 4
name -> 4
wicked -> 4
fellow -> 4
methinks -> 4
each -> 4
word -> 4
away -> 4
pale -> 4
silence -> 4
perhaps -> 4
choice -> 4
shot -> 4
enough -> 4
lies -> 4
double -> 4
dull -> 4
humbly -> 4
understand -> 4
fashion -> 4
blood -> 4
hour -> 4
takes -> 4
complete -> 4
another -> 4
wilt -> 4
ears -> 4
murther -> 4
court -> 4
sent -> 4
damned -> 4
sure -> 4
needs -> 4
grave -> 4
under -> 4
electronic -> 4
provided -> 4
gutenberg -> 4
university -> 4
readable -> 4
prohibited -> 4
distribution -> 4
over -> 4
letters -> 4
grief -> 4
brought -> 4
whereon -> 4
gives -> 4
pass -> 4
gave -> 4
madness -> 4
ambition -> 4
only -> 4
speech -> 4
black -> 4
after -> 4
fall -> 4
england -> 4
stand -> 3
struck -> 3
sick -> 3
honest -> 3
again -> 3
says -> 3
course -> 3
form -> 3
exit -> 3
thought -> 3
cannon -> 3
fortinbras -> 3
stood -> 3
unto -> 3
chief -> 3
high -> 3
state -> 3
coming -> 3
spirits -> 3
being -> 3
heard -> 3
dare -> 3
power -> 3
gracious -> 3
impart -> 3
dumb -> 3
wisest -> 3
sorrow -> 3
taken -> 3
thinking -> 3
lost -> 3
uncle -> 3
favour -> 3
return -> 3
toward -> 3
best -> 3
friend -> 3
lives -> 3
shows -> 3
common -> 3
back -> 3
obey -> 3
rank -> 3
forget -> 3
drink -> 3
forth -> 3
while -> 3
point -> 3
thrice -> 3
hands -> 3
methought -> 3
sound -> 3
fare -> 3
grow -> 3
voice -> 3
honour -> 3
chaste -> 3
blessing -> 3
wind -> 3
free -> 3
light -> 3
command -> 3
flourish -> 3
custom -> 3
phrase -> 3
often -> 3
shape -> 3
waves -> 3
lend -> 3
didst -> 3
went -> 3
sudden -> 3
vile -> 3
saint -> 3
offence -> 3
help -> 3
seeing -> 3
aught -> 3
express -> 3
william -> 3
machine -> 3
charges -> 3
truly -> 3
meant -> 3
cause -> 3
thousand -> 3
rather -> 3
round -> 3
honesty -> 3
save -> 3
happy -> 3
parts -> 3
four -> 3
mortal -> 3
conceit -> 3
devil -> 3
confess -> 3
purpose -> 3
bestow -> 3
hope -> 3
deed -> 3
soft -> 3
right -> 3
fool -> 3
quick -> 3
danish -> 3
kill -> 3
half -> 3
weeds -> 3
pluck -> 3
kills -> 3
noise -> 3
laid -> 3
christian -> 3
wager -> 3
alexander -> 3
bitter -> 2
quiet -> 2
meet -> 2
friends -> 2
piece -> 2
touching -> 2
watch -> 2
warlike -> 2
buried -> 2
sometimes -> 2
charge -> 2
ambitious -> 2
subject -> 2
divide -> 2
known -> 2
lands -> 2
recover -> 2
strong -> 2
main -> 2
through -> 2
julius -> 2
roman -> 2
stands -> 2
doomsday -> 2
prologue -> 2
treasure -> 2
walk -> 2
cock -> 2
stop -> 2
blows -> 2
guilty -> 2
trumpet -> 2
