
Number of words counted: 4839

Final word counting:

vous -> 228
dans -> 157
pour -> 156
nous -> 117
plus -> 114
comme -> 103
votre -> 100
avec -> 91
mais -> 86
cette -> 78
tout -> 74
fait -> 68
bien -> 62
sont -> 53
aussi -> 44
notre -> 43
même -> 43
cela -> 43
leur -> 43
faire -> 42
sans -> 40
quelque -> 38
tous -> 38
dont -> 37
hamlet -> 37
soit -> 36
ainsi -> 34
premier -> 33
elle -> 33
trop -> 31
encore -> 30
avait -> 30
être -> 30
quand -> 30
point -> 27
toute -> 26
était -> 25
suis -> 23
donc -> 23
deux -> 22
contre -> 22
maintenant -> 22
temps -> 22
autre -> 22
scène -> 20
toutes -> 20
veux -> 20
faut -> 20
jamais -> 20
leurs -> 20
shakspeare -> 20
dire -> 19
vers -> 19
peut -> 18
propre -> 18
chose -> 17
jeune -> 17
homme -> 17
reine -> 17
avons -> 16
mort -> 16
entre -> 16
avez -> 15
toujours -> 15
quoi -> 15
quel -> 14
depuis -> 14
bonne -> 13
rien -> 13
fois -> 13
sous -> 13
avant -> 13
tête -> 13
père -> 13
corps -> 13
avoir -> 13
faites -> 13
telle -> 13
comment -> 13
vient -> 12
chaque -> 12
forme -> 12
mettre -> 12
donner -> 12
pauvre -> 12
raison -> 12
gens -> 12
souvent -> 12
sens -> 12
pourquoi -> 11
alors -> 11
voici -> 11
tant -> 11
doit -> 11
second -> 11
sera -> 11
langue -> 11
ciel -> 10
monde -> 10
main -> 10
grand -> 10
moment -> 10
aurait -> 10
quelle -> 10
vieux -> 10
moins -> 10
mieux -> 10
paroles -> 10
droit -> 10
beaucoup -> 10
guildenstern -> 10
folie -> 10
sais -> 9
celui -> 9
cause -> 9
force -> 9
voilà -> 9
dieu -> 9
seul -> 9
rendre -> 9
pensées -> 9
selon -> 9
aller -> 9
seulement -> 9
texte -> 9
mère -> 9
trois -> 9
hors -> 9
déjà -> 9
fils -> 9
puis -> 9
vengeance -> 9
devant -> 8
horatio -> 8
veut -> 8
quant -> 8
parler -> 8
celle -> 8
êtes -> 8
presque -> 8
terre -> 8
part -> 8
danemark -> 8
yeux -> 8
semble -> 8
mains -> 8
nature -> 8
quelques -> 8
femme -> 8
propos -> 8
pourrait -> 8
ceux -> 8
belle -> 8
coeur -> 7
voudrait -> 7
ceci -> 7
jour -> 7
vont -> 7
serait -> 7
autres -> 7
aucun -> 7
pouvoir -> 7
assez -> 7
porter -> 7
sois -> 7
porte -> 7
combien -> 7
visage -> 7
voudrais -> 7
sang -> 7
double -> 7
fille -> 7
prendre -> 7
puisque -> 7
grâce -> 7
chez -> 7
comédiens -> 7
jouer -> 7
marcellus -> 6
pense -> 6
soyez -> 6
afin -> 6
puisse -> 6
pendant -> 6
près -> 6
dernier -> 6
acte -> 6
voir -> 6
fort -> 6
peine -> 6
pleine -> 6
choses -> 6
polonius -> 6
meurtre -> 6
affaire -> 6
donne -> 6
vrai -> 6
vais -> 6
parce -> 6
laisse -> 6
lieu -> 6
étaient -> 6
après -> 6
