Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 4222

Final word counting:

hamlet -> 202
para -> 124
como -> 90
mais -> 77
minha -> 64
horacio -> 57
polonio -> 52
rainha -> 50
está -> 42
seus -> 39
laerte -> 36
quem -> 35
porque -> 35
rosencrantz -> 35
ophelia -> 33
esta -> 30
suas -> 30
elle -> 28
nada -> 27
quando -> 27
primeiro -> 26
este -> 26
então -> 22
assim -> 22
quanto -> 22
todos -> 21
vossa -> 21
tudo -> 21
marcello -> 20
alguma -> 20
meus -> 20
coveiro -> 20
agora -> 19
pelo -> 19
pois -> 19
pela -> 19
seja -> 19
sobre -> 19
homem -> 19
nosso -> 18
esse -> 18
depois -> 18
onde -> 18
ainda -> 17
essa -> 17
antes -> 17
nossa -> 17
causa -> 16
tempo -> 16
osrico -> 16
vida -> 15
toda -> 15
entre -> 15
póde -> 15
minhas -> 15
sempre -> 15
guildenstern -> 15
parece -> 14
tinha -> 14
nunca -> 14
morte -> 14
será -> 14
entra -> 14
tambem -> 13
mesmo -> 13
todo -> 13
estes -> 13
teus -> 13
todas -> 13
muito -> 13
sombra -> 12
segundo -> 12
entram -> 12
amor -> 12
talvez -> 12
tenho -> 12
scena -> 11
estão -> 11
parte -> 11
lhes -> 11
terra -> 11
alma -> 11
senhor -> 11
ella -> 11
estou -> 11
outro -> 11
bernardo -> 10
vezes -> 10
qual -> 10
virtude -> 10
maior -> 10
dizer -> 10
deve -> 10
sangue -> 10
sejam -> 10
peça -> 10
emquanto -> 9
pouco -> 9
noite -> 9
aquelle -> 9
comtudo -> 9
joven -> 9
coração -> 9
quero -> 9
algum -> 9
esses -> 9
tuas -> 9
fosse -> 9
rinaldo -> 9
filho -> 9
actores -> 9
fronte -> 9
castello -> 8
deus -> 8
estas -> 8
nossos -> 8
cuja -> 8
fortimbraz -> 8
senão -> 8
palavras -> 8
certo -> 8
hoje -> 8
dois -> 8
seria -> 8
contra -> 8
sabe -> 8
aqui -> 8
viva -> 7
verdade -> 7
vamos -> 7
quer -> 7
fórma -> 7
menos -> 7
presença -> 7
cabeça -> 7
