Execution time for exact counter: 0.003 seconds.

Final word counting:

vous -> 441
dans -> 354
pour -> 327
nous -> 249
plus -> 220
comme -> 204
votre -> 197
mais -> 187
avec -> 167
cette -> 159
tout -> 141
fait -> 116
bien -> 113
sont -> 102
cela -> 97
même -> 94
sans -> 87
notre -> 85
elle -> 82
aussi -> 80
leur -> 77
faire -> 75
quelque -> 74
ainsi -> 74
dont -> 69
hamlet -> 67
point -> 66
quand -> 65
premier -> 64
tous -> 62
encore -> 61
être -> 60
toute -> 58
était -> 54
soit -> 54
temps -> 53
trop -> 50
suis -> 48
avait -> 47
dire -> 45
autre -> 45
deux -> 44
rien -> 43
contre -> 41
leurs -> 41
reine -> 41
jamais -> 40
peut -> 38
donc -> 38
fois -> 37
toutes -> 37
mort -> 37
scène -> 36
maintenant -> 35
vers -> 35
shakspeare -> 35
entre -> 34
chose -> 33
jeune -> 33
telle -> 33
comment -> 31
veux -> 30
homme -> 30
faut -> 30
pourquoi -> 29
chaque -> 29
quel -> 29
tête -> 29
avant -> 28
quelle -> 28
avons -> 27
propre -> 27
sous -> 26
père -> 26
quoi -> 26
bonne -> 24
ciel -> 24
êtes -> 24
celui -> 24
serait -> 24
donner -> 24
selon -> 24
doit -> 24
depuis -> 24
corps -> 24
beaucoup -> 24
alors -> 23
voici -> 23
monde -> 23
mettre -> 23
tant -> 23
paroles -> 23
avoir -> 23
faites -> 23
sera -> 23
vient -> 22
grand -> 22
pauvre -> 22
second -> 22
sens -> 22
guildenstern -> 22
devant -> 21
parler -> 21
voilà -> 21
avez -> 21
déjà -> 21
veut -> 20
moins -> 20
toujours -> 20
quant -> 19
jour -> 19
voir -> 19
seulement -> 19
souvent -> 19
coeur -> 18
noble -> 18
mieux -> 18
gens -> 18
puis -> 18
forme -> 17
sais -> 17
main -> 17
dieu -> 17
soient -> 17
porte -> 17
raison -> 17
donne -> 17
seigneur -> 17
fils -> 17
presque -> 16
moment -> 16
part -> 16
vieux -> 16
sois -> 16
yeux -> 16
trois -> 16
hors -> 16
vais -> 16
lieu -> 16
femme -> 16
puisse -> 15
ceci -> 15
grande -> 15
terre -> 15
autres -> 15
seul -> 15
rendre -> 15
mère -> 15
fille -> 15
langue -> 15
folie -> 15
pièce -> 15
celle -> 14
cause -> 14
aucun -> 14
fort -> 14
assez -> 14
pensées -> 14
texte -> 14
quelques -> 14
vrai -> 14
cher -> 14
prendre -> 14
sorte -> 14
comédiens -> 14
mille -> 13
afin -> 13
pendant -> 13
force -> 13
voix -> 13
porter -> 13
combien -> 13
langage -> 13
ophélia -> 13
nature -> 13
double -> 13
après -> 13
suite -> 13
rosencrantz -> 13
ceux -> 13
belle -> 13
près -> 12
vont -> 12
dernier -> 12
acte -> 12
aurait -> 12
peine -> 12
danemark -> 12
aller -> 12
choses -> 12
semble -> 12
sang -> 12
jeunesse -> 12
puisque -> 12
bons -> 12
propos -> 12
pourrait -> 12
chez -> 12
sommes -> 12
action -> 12
horatio -> 11
frère -> 11
pouvez -> 11
plutôt -> 11
envers -> 11
voudrais -> 11
mauvais -> 11
vertu -> 11
droit -> 11
elles -> 11
parce -> 11
donné -> 11
coup -> 11
envoyé -> 11
montre -> 11
autant -> 11
mots -> 11
garde -> 10
pense -> 10
pris -> 10
soyez -> 10
partie -> 10
tombe -> 10
pouvoir -> 10
crois -> 10
parmi -> 10
souvenir -> 10
tandis -> 10
tendre -> 10
pouvait -> 10
dois -> 10
passe -> 10
mains -> 10
lorsque -> 10
appartement -> 10
vent -> 10
grâce -> 10
tiens -> 10
siècle -> 10
conscience -> 10
sait -> 10
loin -> 10
vengeance -> 10
jouer -> 10
font -> 10
petit -> 9
voudrait -> 9
nuit -> 9
fasse -> 9
train -> 9
semblable -> 9
viennent -> 9
pleine -> 9
souffle -> 9
polonius -> 9
laërtes -> 9
meurtre -> 9
visage -> 9
affaire -> 9
