Execution time for counter with log base 2: 0.01 seconds.

Number of words counted: 3180

Final word counting:

your -> 10
this -> 10
with -> 10
that -> 10
there -> 9
have -> 8
give -> 8
will -> 8
what -> 8
thou -> 8
would -> 8
more -> 8
they -> 8
shall -> 8
enter -> 7
come -> 7
most -> 7
upon -> 7
good -> 7
them -> 7
make -> 7
speak -> 7
from -> 7
where -> 7
then -> 7
like -> 7
which -> 7
than -> 7
very -> 7
know -> 7
tell -> 7
been -> 7
dear -> 7
must -> 7
should -> 7
into -> 7
much -> 6
hath -> 6
hold -> 6
last -> 6
when -> 6
look -> 6
king -> 6
time -> 6
exit -> 6
some -> 6
whose -> 6
does -> 6
doth -> 6
hamlet -> 6
here -> 6
death -> 6
cannot -> 6
sweet -> 6
pray -> 6
itself -> 6
their -> 6
both -> 6
soul -> 6
every -> 6
makes -> 6
william -> 6
copies -> 6
scene -> 5
before -> 5
down -> 5
long -> 5
live -> 5
thee -> 5
think -> 5
again -> 5
seen -> 5
take -> 5
once -> 5
against -> 5
heaven -> 5
mark -> 5
something -> 5
might -> 5
believe -> 5
without -> 5
true -> 5
such -> 5
thus -> 5
even -> 5
world -> 5
well -> 5
father -> 5
other -> 5
these -> 5
still -> 5
though -> 5
hast -> 5
bear -> 5
better -> 5
business -> 5
further -> 5
exeunt -> 5
came -> 5
duty -> 5
thoughts -> 5
thine -> 5
first -> 5
till -> 5
love -> 5
name -> 5
were -> 5
poor -> 5
youth -> 5
second -> 5
daughter -> 5
many -> 5
call -> 5
words -> 5
general -> 5
complete -> 5
draw -> 5
never -> 5
project -> 5
others -> 5
prohibited -> 5
includes -> 5
charges -> 5
thank -> 5
nothing -> 5
dost -> 5
kind -> 5
play -> 5
fine -> 5
stand -> 4
horatio -> 4
hear -> 4
thing -> 4
therefore -> 4
watch -> 4
eyes -> 4
night -> 4
made -> 4
part -> 4
comes -> 4
fear -> 4
question -> 4
together -> 4
fair -> 4
denmark -> 4
mine -> 4
dead -> 4
those -> 4
young -> 4
hand -> 4
head -> 4
through -> 4
little -> 4
almost -> 4
earth -> 4
stay -> 4
life -> 4
walk -> 4
being -> 4
show -> 4
about -> 4
heard -> 4
spirit -> 4
find -> 4
room -> 4
nature -> 4
full -> 4
personal -> 4
doubt -> 4
leave -> 4
ever -> 4
noble -> 4
within -> 4
shows -> 4
mind -> 4
note -> 4
mother -> 4
great -> 4
things -> 4
excellent -> 4
tears -> 4
report -> 4
drink -> 4
while -> 4
each -> 4
word -> 4
away -> 4
pale -> 4
else -> 4
foul -> 4
service -> 4
virtue -> 4
himself -> 4
keep -> 4
none -> 4
double -> 4
wind -> 4
means -> 4
false -> 4
said -> 4
please -> 4
given -> 4
free -> 4
between -> 4
blood -> 4
tongue -> 4
custom -> 4
since -> 4
bring -> 4
follow -> 4
wilt -> 4
could -> 4
sent -> 4
times -> 4
electronic -> 4
version -> 4
works -> 4
university -> 4
machine -> 4
distributed -> 4
distribution -> 4
rosencrantz -> 4
whom -> 4
cause -> 4
three -> 4
thousand -> 4
queen -> 4
madness -> 4
arras -> 4
matter -> 4
either -> 4
players -> 4
only -> 4
devil -> 4
purpose -> 4
deed -> 4
turn -> 4
poison -> 4
shame -> 4
alexander -> 4
answer -> 3
struck -> 3
sick -> 3
meet -> 3
friends -> 3
honest -> 3
piece -> 3
says -> 3
twice -> 3
same -> 3
break -> 3
warlike -> 3
form -> 3
majesty -> 3
gone -> 3
particular -> 3
thought -> 3
work -> 3
strange -> 3
cast -> 3
haste -> 3
goes -> 3
known -> 3
fell -> 3
unto -> 3
state -> 3
coming -> 3
ghost -> 3
treasure -> 3
stop -> 3
guilty -> 3
whether -> 3
truth -> 3
season -> 3
wherein -> 3
morning -> 3
laertes -> 3
whole -> 3
late -> 3
lost -> 3
writ -> 3
commend -> 3
news -> 3
told -> 3
reason -> 3
lose -> 3
wouldst -> 3
native -> 3
dread -> 3
hard -> 3
best -> 3
seek -> 3
lives -> 3
seems -> 3
alone -> 3
indeed -> 3
heart -> 3
fault -> 3
throw -> 3
back -> 3
obey -> 3
gentle -> 3
grace -> 3
health -> 3
flesh -> 3
seem -> 3
grows -> 3
visit -> 3
face -> 3
grown -> 3
body -> 3
wicked -> 3
teach -> 3
deep -> 3
mock -> 3
fellow -> 3
forth -> 3
point -> 3
thrice -> 3
knew -> 3
hands -> 3
sound -> 3
beard -> 3
perchance -> 3
hell -> 3
fare -> 3
house -> 3
grow -> 3
perhaps -> 3
choice -> 3
voice -> 3
wisdom -> 3
honour -> 3
shot -> 3
beauty -> 3
lies -> 3
effect -> 3
dull -> 3
neither -> 3
humbly -> 3
remember -> 3
yourself -> 3
lord -> 3
understand -> 3
fashion -> 3
light -> 3
command -> 3
hour -> 3
takes -> 3
phrase -> 3
infinite -> 3
action -> 3
another -> 3
hearing -> 3
done -> 3
ears -> 3
didst -> 3
revenge -> 3
court -> 3
cursed -> 3
holds -> 3
sudden -> 3
wholesome -> 3
vile -> 3
damned -> 3
sure -> 3
needs -> 3
grave -> 3
offence -> 3
help -> 3
aught -> 3
shakespeare -> 3
copyright -> 3
provided -> 3
gutenberg -> 3
etext -> 3
carnegie -> 3
mellon -> 3
readable -> 3
used -> 3
commercial -> 3
download -> 3
touch -> 3
breathe -> 3
truly -> 3
took -> 3
over -> 3
property -> 3
letters -> 3
ourselves -> 3
lack -> 3
move -> 3
grief -> 3
rest -> 3
receive -> 3
guildenstern -> 3
found -> 3
sends -> 3
whereon -> 3
gives -> 3
pass -> 3
welcome -> 3
white -> 3
round -> 3
gave -> 3
herself -> 3
thence -> 3
behind -> 3
save -> 3
fortune -> 3
laugh -> 3
speech -> 3
black -> 3
after -> 3
fall -> 3
mortal -> 3
calls -> 3
pate -> 3
conscience -> 3
bestow -> 3
hope -> 3
sleep -> 3
right -> 3
fool -> 3
rose -> 3
quick -> 3
england -> 3
imports -> 3
husband -> 3
noise -> 3
sense -> 3
laid -> 3
bore -> 3
sing -> 3
skull -> 3
lordship -> 3
platform -> 2
quiet -> 2
touching -> 2
nights -> 2
star -> 2
course -> 2
looks -> 2
buried -> 2
sometimes -> 2
charge -> 2
gross -> 2
cannon -> 2
sore -> 2
image -> 2
fortinbras -> 2
lands -> 2
stood -> 2
list -> 2
recover -> 2
strong -> 2
terms -> 2
main -> 2
motive -> 2
chief -> 2
sort -> 2
high -> 2
stands -> 2
prologue -> 2
spirits -> 2
cock -> 2
trumpet -> 2
throat -> 2
herein -> 2
present -> 2
dare -> 2
stir -> 2
power -> 2
gracious -> 2
impart -> 2
dumb -> 2
sister -> 2
lords -> 2
memory -> 2
kingdom -> 2
wisest -> 2
sorrow -> 2
sometime -> 2
delight -> 2
taken -> 2
thinking -> 2
dream -> 2
importing -> 2
uncle -> 2
hears -> 2
giving -> 2
favour -> 2
return -> 2
bend -> 2
toward -> 2
france -> 2
slow -> 2
beseech -> 2
cousin -> 2
less -> 2
hang -> 2
friend -> 2
passing -> 2
solemn -> 2
shapes -> 2
bound -> 2
understanding -> 2
common -> 2
cheer -> 2
loving -> 2
sits -> 2
uses -> 2
rank -> 2
months -> 2
winds -> 2
discourse -> 2
salt -> 2
glad -> 2
forget -> 2
change -> 2
prithee -> 2
marriage -> 2
methinks -> 2
goodly -> 2
gentlemen -> 2
whilst -> 2
dreadful -> 2
kept -> 2
methought -> 2
countenance -> 2
assume -> 2
silence -> 2
inward -> 2
wide -> 2
loves -> 2
safety -> 2
place -> 2
chaste -> 2
maid -> 2
enough -> 2
blessing -> 2
occasion -> 2
entertainment -> 2
habit -> 2
canst -> 2
audience -> 2
tender -> 2
mere -> 2
pious -> 2
near -> 2
wont -> 2
flourish -> 2
keeps -> 2
pith -> 2
choose -> 2
censure -> 2
often -> 2
defend -> 2
shape -> 2
royal -> 2
burst -> 2
mean -> 2
making -> 2
disposition -> 2
desire -> 2
waves -> 2
tempt -> 2
base -> 2
puts -> 2
cries -> 2
lets -> 2
desperate -> 2
direct -> 2
lead -> 2
pity -> 2
lend -> 2
shalt -> 2
certain -> 2
crimes -> 2
days -> 2
prison -> 2
tale -> 2
start -> 2
murther -> 2
sleeping -> 2
went -> 2
wretch -> 2
natural -> 2
angel -> 2
instant -> 2
table -> 2
commandment -> 2
villain -> 2
circumstance -> 2
desires -> 2
saint -> 2
under -> 2
swear -> 2
wondrous -> 2
myself -> 2
seeing -> 2
arms -> 2
need -> 2
express -> 2
fingers -> 2
polonius -> 2
finding -> 2
drift -> 2
fiery -> 2
observe -> 2
piteous -> 2
falls -> 2
doors -> 2
violent -> 2
passion -> 2
judgment -> 2
