Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 3180

Final word counting:

that -> 177
with -> 143
your -> 126
this -> 102
what -> 97
have -> 96
will -> 79
shall -> 52
good -> 51
thou -> 49
most -> 45
they -> 44
more -> 40
from -> 39
would -> 38
enter -> 36
very -> 36
hath -> 33
there -> 33
know -> 33
their -> 32
come -> 31
much -> 31
give -> 31
like -> 30
such -> 29
must -> 28
make -> 27
some -> 27
upon -> 26
time -> 26
think -> 25
when -> 25
which -> 25
should -> 24
king -> 22
speak -> 21
where -> 20
then -> 20
thus -> 19
tell -> 19
these -> 19
love -> 19
than -> 18
take -> 17
made -> 17
father -> 17
though -> 17
here -> 16
into -> 16
them -> 15
mine -> 15
whose -> 15
hamlet -> 15
world -> 15
well -> 15
hold -> 14
look -> 14
doth -> 14
been -> 14
cannot -> 14
scene -> 13
thee -> 13
hear -> 13
sweet -> 13
could -> 13
leave -> 12
pray -> 12
poor -> 12
both -> 12
never -> 12
against -> 11
does -> 11
even -> 11
show -> 11
dear -> 11
death -> 11
were -> 11
soul -> 11
keep -> 11
call -> 11
down -> 10
long -> 10
part -> 10
might -> 10
those -> 10
itself -> 10
many -> 10
makes -> 10
rosencrantz -> 10
nothing -> 10
play -> 10
exit -> 9
nature -> 9
exeunt -> 9
till -> 9
great -> 9
follow -> 9
electronic -> 9
before -> 8
thing -> 8
seen -> 8
once -> 8
heaven -> 8
without -> 8
little -> 8
mind -> 8
first -> 8
body -> 8
since -> 8
bring -> 8
copies -> 8
distributed -> 8
matter -> 8
dost -> 8
players -> 8
last -> 7
night -> 7
something -> 7
dead -> 7
young -> 7
personal -> 7
thoughts -> 7
noble -> 7
mother -> 7
else -> 7
wind -> 7
lord -> 7
words -> 7
william -> 7
rest -> 7
queen -> 7
answer -> 6
stand -> 6
live -> 6
eyes -> 6
same -> 6
question -> 6
together -> 6
form -> 6
believe -> 6
true -> 6
other -> 6
still -> 6
life -> 6
being -> 6
bear -> 6
business -> 6
further -> 6
reason -> 6
came -> 6
thine -> 6
ever -> 6
while -> 6
away -> 6
service -> 6
virtue -> 6
means -> 6
draw -> 6
another -> 6
others -> 6
prohibited -> 6
commercial -> 6
download -> 6
ourselves -> 6
grief -> 6
cause -> 6
thousand -> 6
thank -> 6
madness -> 6
noise -> 6
horatio -> 5
again -> 5
therefore -> 5
mark -> 5
fair -> 5
majesty -> 5
haste -> 5
hand -> 5
head -> 5
through -> 5
almost -> 5
earth -> 5
ghost -> 5
stay -> 5
hast -> 5
about -> 5
heard -> 5
room -> 5
lost -> 5
duty -> 5
beseech -> 5
best -> 5
indeed -> 5
shows -> 5
things -> 5
excellent -> 5
name -> 5
hands -> 5
grow -> 5
himself -> 5
every -> 5
given -> 5
free -> 5
between -> 5
complete -> 5
under -> 5
works -> 5
copyright -> 5
provided -> 5
university -> 5
machine -> 5
brought -> 5
receive -> 5
gave -> 5
after -> 5
deed -> 5
says -> 4
watch -> 4
comes -> 4
buried -> 4
thought -> 4
fell -> 4
walk -> 4
spirit -> 4
season -> 4
power -> 4
find -> 4
laertes -> 4
memory -> 4
writ -> 4
full -> 4
doubt -> 4
lose -> 4
dread -> 4
less -> 4
lives -> 4
heart -> 4
grace -> 4
seem -> 4
visit -> 4
face -> 4
drink -> 4
each -> 4
foul -> 4
house -> 4
youth -> 4
voice -> 4
double -> 4
humbly -> 4
said -> 4
daughter -> 4
blood -> 4
action -> 4
cries -> 4
wilt -> 4
natural -> 4
court -> 4
cursed -> 4
sudden -> 4
vile -> 4
sent -> 4
damned -> 4
table -> 4
shakespeare -> 4
project -> 4
gutenberg -> 4
used -> 4
charges -> 4
whereon -> 4
gives -> 4
pass -> 4
save -> 4
either -> 4
calls -> 4
bloody -> 4
dangerous -> 4
purpose -> 4
fool -> 4
kill -> 4
shame -> 4
shortly -> 4
sense -> 4
struck -> 3
meet -> 3
honest -> 3
course -> 3
break -> 3
fear -> 3
denmark -> 3
particular -> 3
work -> 3
unto -> 3
state -> 3
coming -> 3
treasure -> 3
spirits -> 3
whether -> 3
truth -> 3
herein -> 3
wherein -> 3
gracious -> 3
kingdom -> 3
wisest -> 3
dream -> 3
commend -> 3
news -> 3
told -> 3
wouldst -> 3
favour -> 3
toward -> 3
hard -> 3
seems -> 3
alone -> 3
within -> 3
common -> 3
fault -> 3
back -> 3
discourse -> 3
wicked -> 3
report -> 3
teach -> 3
mock -> 3
fellow -> 3
point -> 3
dreadful -> 3
word -> 3
perchance -> 3
hell -> 3
fare -> 3
wide -> 3
choice -> 3
wisdom -> 3
lies -> 3
none -> 3
habit -> 3
neither -> 3
yourself -> 3
please -> 3
fashion -> 3
tongue -> 3
hour -> 3
near -> 3
wont -> 3
takes -> 3
custom -> 3
phrase -> 3
infinite -> 3
often -> 3
mean -> 3
making -> 3
base -> 3
desperate -> 3
direct -> 3
hearing -> 3
shalt -> 3
