Execution time for counter with probability 1/2: 0.01 seconds.

Number of words counted: 4839

Final word counting:

vous -> 219
dans -> 180
pour -> 169
plus -> 116
nous -> 115
comme -> 105
votre -> 104
mais -> 102
cette -> 69
avec -> 67
sont -> 62
fait -> 59
tout -> 56
cela -> 55
bien -> 51
notre -> 49
même -> 46
hamlet -> 44
sans -> 41
quelque -> 40
aussi -> 40
leur -> 39
ainsi -> 38
elle -> 37
point -> 35
tous -> 35
premier -> 32
être -> 32
faire -> 31
encore -> 31
quand -> 30
dont -> 28
avait -> 26
toute -> 26
suis -> 26
trop -> 26
deux -> 25
était -> 25
autre -> 23
soit -> 23
scène -> 22
dire -> 22
jamais -> 22
fois -> 21
contre -> 21
leurs -> 21
temps -> 19
vers -> 19
faut -> 19
toutes -> 18
maintenant -> 17
peut -> 17
mort -> 17
shakspeare -> 17
jeune -> 16
quelle -> 16
donc -> 16
devant -> 15
vient -> 15
rien -> 15
avons -> 15
veux -> 15
quant -> 14
pourquoi -> 14
sous -> 14
serait -> 14
avant -> 14
tête -> 14
propre -> 14
sens -> 14
chose -> 13
celui -> 13
doit -> 13
seulement -> 13
homme -> 13
pauvre -> 13
faites -> 13
reine -> 13
chaque -> 12
ciel -> 12
alors -> 12
voilà -> 12
entre -> 12
corps -> 12
raison -> 12
sera -> 12
quoi -> 12
comment -> 12
guildenstern -> 12
bonne -> 11
parler -> 11
voici -> 11
forme -> 11
êtes -> 11
quel -> 11
sais -> 11
monde -> 11
mettre -> 11
sois -> 11
père -> 11
trois -> 11
déjà -> 11
beaucoup -> 11
puis -> 11
veut -> 10
afin -> 10
noble -> 10
presque -> 10
vieux -> 10
donner -> 10
avez -> 10
moins -> 10
porte -> 10
texte -> 10
depuis -> 10
avoir -> 10
souvent -> 10
second -> 10
telle -> 10
folie -> 10
horatio -> 9
jour -> 9
main -> 9
grand -> 9
autres -> 9
pouvoir -> 9
tant -> 9
selon -> 9
paroles -> 9
seigneur -> 9
langue -> 9
comédiens -> 9
coeur -> 8
dieu -> 8
aucun -> 8
part -> 8
fort -> 8
seul -> 8
pensées -> 8
choses -> 8
mieux -> 8
passe -> 8
nature -> 8
droit -> 8
toujours -> 8
double -> 8
lieu -> 8
après -> 8
femme -> 8
suite -> 8
fils -> 8
avaient -> 8
ceux -> 8
action -> 8
garde -> 7
marcellus -> 7
pris -> 7
puisse -> 7
ceci -> 7
près -> 7
vont -> 7
dernier -> 7
terre -> 7
voix -> 7
soient -> 7
voir -> 7
parmi -> 7
souvenir -> 7
tandis -> 7
peine -> 7
plutôt -> 7
mère -> 7
combien -> 7
yeux -> 7
voudrais -> 7
langage -> 7
gens -> 7
fille -> 7
vais -> 7
cher -> 7
donné -> 7
envoyé -> 7
sorte -> 7
derrière -> 7
autant -> 7
belle -> 7
hommes -> 6
petit -> 6
nuit -> 6
acte -> 6
plein -> 6
cause -> 6
semblable -> 6
tombe -> 6
grande -> 6
nulle -> 6
crois -> 6
frère -> 6
assez -> 6
écrit -> 6
porter -> 6
rendre -> 6
souffle -> 6
laërtes -> 6
visage -> 6
vois -> 6
mauvais -> 6
jeunesse -> 6
vertu -> 6
hors -> 6
enfants -> 6
quelques -> 6
vrai -> 6
elles -> 6
grâce -> 6
montre -> 6
tiens -> 6
siècle -> 6
pourrait -> 6
doute -> 6
laisser -> 6
bientôt -> 6
font -> 6
mots -> 6
place -> 6
gentilhomme -> 6
mille -> 5
pense -> 5
soyez -> 5
