Execution time for counter with probability 1/2: 0.007 seconds.

Number of words counted: 4222

Final word counting:

hamlet -> 190
para -> 122
mais -> 97
minha -> 66
como -> 66
horacio -> 65
polonio -> 53
rainha -> 46
porque -> 37
este -> 36
seus -> 36
rosencrantz -> 35
quando -> 34
suas -> 34
está -> 33
esta -> 33
laerte -> 32
quem -> 29
tudo -> 28
primeiro -> 27
pois -> 26
ophelia -> 26
nada -> 25
quanto -> 25
coveiro -> 25
agora -> 24
elle -> 23
ainda -> 23
assim -> 23
todos -> 22
sobre -> 22
esse -> 21
póde -> 21
então -> 20
alguma -> 19
pelo -> 19
depois -> 19
marcello -> 18
guildenstern -> 18
toda -> 17
vossa -> 17
amor -> 17
meus -> 16
pela -> 16
nossa -> 16
será -> 16
bernardo -> 15
segundo -> 15
antes -> 15
sempre -> 15
qual -> 14
nosso -> 14
morte -> 14
onde -> 14
tempo -> 14
todas -> 14
nossos -> 13
seja -> 13
homem -> 13
osrico -> 13
tambem -> 12
vezes -> 12
ella -> 12
entra -> 12
mesmo -> 11
sombra -> 11
debaixo -> 11
cujo -> 11
teus -> 11
certo -> 11
alma -> 11
minhas -> 11
tuas -> 11
scena -> 10
estão -> 10
pouco -> 10
parte -> 10
essa -> 10
causa -> 10
nunca -> 10
estes -> 10
dizer -> 10
entram -> 10
deve -> 10
algum -> 10
tenho -> 10
outro -> 10
verdade -> 9
parece -> 9
deus -> 9
comtudo -> 9
vida -> 9
tanto -> 9
dinamarca -> 9
coração -> 9
quero -> 9
dois -> 9
queria -> 9
seria -> 9
sangue -> 9
contra -> 9
chegam -> 8
noite -> 8
tinha -> 8
aquelle -> 8
virtude -> 8
lhes -> 8
senão -> 8
sinto -> 8
palavras -> 8
cada -> 8
estou -> 8
tres -> 8
muito -> 8
quarto -> 8
propria -> 8
sejam -> 8
aqui -> 8
peça -> 8
castello -> 7
emquanto -> 7
vamos -> 7
todo -> 7
grande -> 7
posso -> 7
joven -> 7
menos -> 7
rasão -> 7
olhos -> 7
entre -> 7
cabeça -> 7
mundo -> 7
ponto -> 7
acto -> 7
senhor -> 7
lagrimas -> 7
esses -> 7
fosse -> 7
fronte -> 7
corpo -> 6
fallar -> 6
hora -> 6
quer -> 6
proprio -> 6
caso -> 6
isto -> 6
terra -> 6
embora -> 6
motivo -> 6
conhecer -> 6
olhar -> 6
triste -> 6
cadaver -> 6
hoje -> 6
excepto -> 6
teria -> 6
forçoso -> 6
queres -> 6
querida -> 6
receio -> 6
almas -> 6
sabe -> 6
pelos -> 6
principe -> 6
modo -> 6
actores -> 6
infeliz -> 6
official -> 6
francisco -> 5
viva -> 5
momento -> 5
cousa -> 5
fortimbraz -> 5
mesma -> 5
força -> 5
acção -> 5
isso -> 5
devo -> 5
presença -> 5
espirito -> 5
prazer -> 5
vosso -> 5
podem -> 5
pobre -> 5
tivesse -> 5
apenas -> 5
mulher -> 5
meio -> 5
elles -> 5
talvez -> 5
disse -> 5
rumor -> 5
logar -> 5
faça -> 5
pensamento -> 5
nobre -> 5
digno -> 5
peso -> 5
rinaldo -> 5
filho -> 5
actos -> 5
saber -> 5
poderia -> 5
bemvindos -> 5
demasiado -> 5
homens -> 5
actor -> 5
assassino -> 5
logo -> 5
houve -> 4
creio -> 4
amigos -> 4
possa -> 4
temos -> 4
fórma -> 4
nome -> 4
poderá -> 4
pelas -> 4
tens -> 4
dever -> 4
irmão -> 4
nossas -> 4
monarcha -> 4
resultado -> 4
desejos -> 4
vontade -> 4
magestade -> 4
sabes -> 4
possivel -> 4
morto -> 4
longe -> 4
bons -> 4
senhores -> 4
espanto -> 4
duvida -> 4
posição -> 4
outros -> 4
ouvidos -> 4
belleza -> 4
flores -> 4
caminho -> 4
occasião -> 4
jamais -> 4
chamma -> 4
qualquer -> 4
vicio -> 4
demonio -> 4
palavra -> 4
quaes -> 4
ambos -> 4
proprias -> 4
achar -> 4
tropas -> 4
tarde -> 4
leve -> 4
obra -> 4
vale -> 4
alteza -> 4
primeira -> 4
seguir -> 4
justo -> 4
ordens -> 4
saberá -> 4
meia -> 3
boas -> 3
effeito -> 3
duas -> 3
noites -> 3
defunto -> 3
observa -> 3
posto -> 3
caminhar -> 3
opinião -> 3
estas -> 3
dias -> 3
ultimo -> 3
cuja -> 3
campo -> 3
igual -> 3
perdeu -> 3
somos -> 3
passar -> 3
intelligencia -> 3
deixar -> 3
desgraça -> 3
maior -> 3
golpes -> 3
pessoas -> 3
dizem -> 3
nenhuma -> 3
graça -> 3
esposa -> 3
corôa -> 3
vossos -> 3
presentes -> 3
essas -> 3
querido -> 3
lança -> 3
revelar -> 3
provar -> 3
resposta -> 3
taça -> 3
tanta -> 3
parecia -> 3
leito -> 3
ultima -> 3
iguarias -> 3
mãos -> 3
horas -> 3
casa -> 3
virgem -> 3
perigo -> 3
execução -> 3
pedir -> 3
outras -> 3
natureza -> 3
poisque -> 3
genio -> 3
completa -> 3
preciso -> 3
cujas -> 3
havia -> 3
ouvido -> 3
veneno -> 3
entrega -> 3
capaz -> 3
jurem -> 3
procura -> 3
aquelles -> 3
sente -> 3
caro -> 3
rosto -> 3
mensageiro -> 3
feito -> 3
cartas -> 3
contrario -> 3
idade -> 3
filha -> 3
vendo -> 3
demencia -> 3
quatro -> 3
unica -> 3
similhante -> 3
imbecil -> 3
rasões -> 3
fortuna -> 3
resto -> 3
direitos -> 3
vento -> 3
assumpto -> 3
lucta -> 3
chão -> 3
doze -> 3
consciencia -> 3
esperança -> 3
asqueroso -> 3
terrivel -> 3
vejo -> 3
pura -> 3
pensar -> 3
cujos -> 3
vivo -> 3
chega -> 3
braços -> 3
sorte -> 3
chapéu -> 3
inglaterra -> 3
pareça -> 3
povo -> 3
pertence -> 3
alexandre -> 3
aposta -> 3
faze -> 2
acaba -> 2
ouvi -> 2
façam -> 2
subditos -> 2
santas -> 2
acreditar -> 2
novo -> 2
vêem -> 2
giro -> 2
apparece -> 2
similhança -> 2
haverá -> 2
testemunho -> 2
estado -> 2
diga -> 2
guardas -> 2
combate -> 2
matou -> 2
territorio -> 2
direito -> 2
exercito -> 2
promptos -> 2
fraca -> 2
preparativos -> 2
guarda -> 2
após -> 2
influencia -> 2
continuando -> 2
pódes -> 2
articular -> 2
sabedor -> 2
esforço -> 2
colera -> 2
cantou -> 2
culpado -> 2
voltar -> 2
